mcc,industry,avg_invoice_size,monthly_txn_count,annual_payment_volume,supplier_margin_profile,payment_speed_preference,card_acceptance_history,reconciliation_complexity,geography,currency,servicing_cost,vendor_id,offer_rate_bps,offer_settlement,offer_fee_cap,accepted
5111,office_supplies,215.27,4,70384.14,thin,standard,never_offered,low,domestic,USD,medium,V000073,150,next_day,capped,1
5111,office_supplies,215.27,4,70384.14,thin,standard,never_offered,low,domestic,USD,medium,V000073,150,same_day,none,1
5085,industrial,2348.18,10,4186099.33,thin,standard,accepted,high,domestic,USD,high,V000074,220,same_day,capped,1
5085,industrial,2348.18,10,4186099.33,thin,standard,accepted,high,domestic,USD,high,V000074,220,next_day,none,1
5065,industrial,687.89,4,776350.46,moderate,immediate,never_offered,medium,domestic,USD,medium,V000075,150,next_day,none,0
5065,industrial,687.89,4,776350.46,moderate,immediate,never_offered,medium,domestic,USD,medium,V000075,80,next_day,none,1
5065,industrial,762.11,16,3372004.95,moderate,immediate,never_offered,high,domestic,USD,medium,V000076,150,same_day,none,1
5065,industrial,762.11,16,3372004.95,moderate,immediate,never_offered,high,domestic,USD,medium,V000076,220,same_day,capped,1
7392,professional_services,32729.33,16,99025058.22,moderate,immediate,accepted,low,domestic,USD,medium,V000077,280,same_day,capped,1
7392,professional_services,32729.33,16,99025058.22,moderate,immediate,accepted,low,domestic,USD,medium,V000077,220,same_day,capped,1
5065,industrial,447.91,4,390033.38,moderate,immediate,accepted,high,domestic,USD,medium,V000078,150,same_day,none,1
5065,industrial,447.91,4,390033.38,moderate,immediate,accepted,high,domestic,USD,medium,V000078,280,same_day,none,1
8911,engineering,56372.39,23,316956681.14,thin,standard,never_offered,high,domestic,USD,low,V000079,220,next_day,capped,1
8911,engineering,56372.39,23,316956681.14,thin,standard,never_offered,high,domestic,USD,low,V000079,220,same_day,capped,1
5122,pharma,3081.46,21,12977780.98,healthy,fast,never_offered,medium,domestic,USD,medium,V000080,220,same_day,none,1
5122,pharma,3081.46,21,12977780.98,healthy,fast,never_offered,medium,domestic,USD,medium,V000080,280,same_day,capped,1
5211,construction,1631.24,7,1334347.09,thin,fast,rejected,low,cross_border,EUR,low,V000081,220,same_day,capped,1
5211,construction,1631.24,7,1334347.09,thin,fast,rejected,low,cross_border,EUR,low,V000081,280,same_day,none,1
5172,fuel_energy,10045.14,8,13145344.89,moderate,fast,rejected,medium,domestic,USD,low,V000082,150,same_day,none,1
5172,fuel_energy,10045.14,8,13145344.89,moderate,fast,rejected,medium,domestic,USD,low,V000082,220,same_day,capped,1
5085,industrial,2384.8,7,3852608.62,thin,standard,rejected,high,domestic,USD,low,V000083,280,next_day,capped,0
5085,industrial,2384.8,7,3852608.62,thin,standard,rejected,high,domestic,USD,low,V000083,220,same_day,none,1
5172,fuel_energy,956.29,8,177914.42,moderate,standard,never_offered,low,domestic,USD,medium,V000084,80,next_day,none,0
5172,fuel_energy,956.29,8,177914.42,moderate,standard,never_offered,low,domestic,USD,medium,V000084,80,same_day,capped,0
5111,office_supplies,1504.9,2,78092.05,thin,standard,accepted,low,cross_border,GBP,low,V000085,80,same_day,none,1
5111,office_supplies,1504.9,2,78092.05,thin,standard,accepted,low,cross_border,GBP,low,V000085,150,same_day,capped,1
7392,professional_services,1016.18,8,2428883.34,thin,immediate,rejected,low,domestic,USD,high,V000086,220,same_day,capped,0
7392,professional_services,1016.18,8,2428883.34,thin,immediate,rejected,low,domestic,USD,high,V000086,280,next_day,capped,0
7372,it_services,1310.92,13,4092293.02,moderate,fast,never_offered,medium,domestic,USD,low,V000087,150,next_day,none,0
7372,it_services,1310.92,13,4092293.02,moderate,fast,never_offered,medium,domestic,USD,low,V000087,150,same_day,none,1
5122,pharma,866.54,53,5779328.72,thin,standard,accepted,high,domestic,USD,low,V000088,150,next_day,none,1
5122,pharma,866.54,53,5779328.72,thin,standard,accepted,high,domestic,USD,low,V000088,220,next_day,none,1
5065,industrial,416.19,3,199995.09,moderate,fast,accepted,medium,cross_border,EUR,low,V000089,220,same_day,capped,1
5065,industrial,416.19,3,199995.09,moderate,fast,accepted,medium,cross_border,EUR,low,V000089,280,same_day,capped,1
5111,office_supplies,1261.89,12,2032250.77,healthy,fast,accepted,high,domestic,USD,low,V000090,150,next_day,capped,1
5111,office_supplies,1261.89,12,2032250.77,healthy,fast,accepted,high,domestic,USD,low,V000090,80,next_day,capped,1
5122,pharma,6279.2,8,550567.53,moderate,standard,never_offered,medium,domestic,USD,high,V000091,80,next_day,none,1
5122,pharma,6279.2,8,550567.53,moderate,standard,never_offered,medium,domestic,USD,high,V000091,80,next_day,capped,1
5111,office_supplies,238.88,11,380375.27,healthy,standard,accepted,low,domestic,USD,medium,V000092,80,next_day,capped,1
5111,office_supplies,238.88,11,380375.27,healthy,standard,accepted,low,domestic,USD,medium,V000092,220,next_day,capped,1
5169,chemicals,7005.91,3,1203933.24,moderate,fast,rejected,high,domestic,USD,medium,V000093,280,next_day,capped,0
5169,chemicals,7005.91,3,1203933.24,moderate,fast,rejected,high,domestic,USD,medium,V000093,150,same_day,none,1
5172,fuel_energy,878.13,23,1217310.22,moderate,standard,accepted,high,domestic,USD,high,V000094,280,next_day,capped,1
5172,fuel_energy,878.13,23,1217310.22,moderate,standard,accepted,high,domestic,USD,high,V000094,150,same_day,capped,1
5137,office_supplies,541.81,16,786131.31,healthy,fast,never_offered,low,domestic,USD,low,V000095,150,same_day,capped,1
5137,office_supplies,541.81,16,786131.31,healthy,fast,never_offered,low,domestic,USD,low,V000095,280,next_day,none,1
7392,professional_services,3797.0,11,1462202.88,moderate,immediate,accepted,medium,cross_border,EUR,medium,V000096,80,next_day,none,1
7392,professional_services,3797.0,11,1462202.88,moderate,immediate,accepted,medium,cross_border,EUR,medium,V000096,80,next_day,none,1
7392,professional_services,19381.75,10,27556085.69,moderate,standard,accepted,low,domestic,USD,low,V000097,280,next_day,capped,1
7392,professional_services,19381.75,10,27556085.69,moderate,standard,accepted,low,domestic,USD,low,V000097,150,next_day,none,1
7399,professional_services,559.3,16,963660.78,moderate,immediate,accepted,medium,cross_border,EUR,low,V000098,150,same_day,none,1
7399,professional_services,559.3,16,963660.78,moderate,immediate,accepted,medium,cross_border,EUR,low,V000098,280,next_day,none,1
5137,office_supplies,842.78,8,374482.08,healthy,fast,never_offered,low,domestic,USD,low,V000099,280,same_day,capped,1
5137,office_supplies,842.78,8,374482.08,healthy,fast,never_offered,low,domestic,USD,low,V000099,150,same_day,capped,1
5122,pharma,2165.17,7,2924812.57,thin,standard,never_offered,medium,cross_border,GBP,medium,V000100,80,next_day,capped,0
5122,pharma,2165.17,7,2924812.57,thin,standard,never_offered,medium,cross_border,GBP,medium,V000100,280,next_day,none,1
8911,engineering,7358.59,11,14036922.68,thin,fast,rejected,medium,domestic,USD,low,V000101,220,next_day,capped,0
8911,engineering,7358.59,11,14036922.68,thin,fast,rejected,medium,domestic,USD,low,V000101,280,same_day,none,0
7392,professional_services,3988.6,30,30164007.76,thin,standard,never_offered,high,domestic,USD,low,V000102,80,next_day,none,0
7392,professional_services,3988.6,30,30164007.76,thin,standard,never_offered,high,domestic,USD,low,V000102,280,next_day,none,0
5085,industrial,318.73,1,65688.49,moderate,fast,rejected,low,domestic,USD,medium,V000103,280,same_day,capped,1
5085,industrial,318.73,1,65688.49,moderate,fast,rejected,low,domestic,USD,medium,V000103,220,same_day,capped,1
7399,professional_services,672.17,20,1216681.81,healthy,standard,accepted,medium,domestic,USD,medium,V000104,80,next_day,capped,1
7399,professional_services,672.17,20,1216681.81,healthy,standard,accepted,medium,domestic,USD,medium,V000104,80,next_day,capped,1
5065,industrial,933.13,8,607819.52,thin,fast,never_offered,medium,domestic,USD,low,V000105,220,next_day,none,0
5065,industrial,933.13,8,607819.52,thin,fast,never_offered,medium,domestic,USD,low,V000105,220,next_day,capped,1
5111,office_supplies,294.97,15,40549.0,healthy,standard,accepted,medium,domestic,USD,low,V000106,80,next_day,none,1
5111,office_supplies,294.97,15,40549.0,healthy,standard,accepted,medium,domestic,USD,low,V000106,80,next_day,capped,1
7372,it_services,7600.48,17,29197878.37,moderate,fast,accepted,high,domestic,USD,medium,V000107,280,same_day,capped,1
7372,it_services,7600.48,17,29197878.37,moderate,fast,accepted,high,domestic,USD,medium,V000107,150,same_day,none,1
5172,fuel_energy,2139.91,12,1100076.31,moderate,standard,rejected,medium,domestic,USD,low,V000108,80,same_day,none,1
5172,fuel_energy,2139.91,12,1100076.31,moderate,standard,rejected,medium,domestic,USD,low,V000108,280,same_day,none,0
5122,pharma,1969.05,4,145993.57,thin,standard,accepted,medium,domestic,USD,medium,V000109,220,same_day,none,1
5122,pharma,1969.05,4,145993.57,thin,standard,accepted,medium,domestic,USD,medium,V000109,80,next_day,capped,1
5199,industrial,540.65,18,1071223.46,thin,immediate,accepted,medium,domestic,USD,low,V000110,220,same_day,none,0
5199,industrial,540.65,18,1071223.46,thin,immediate,accepted,medium,domestic,USD,low,V000110,150,same_day,capped,1
5199,industrial,260.88,10,293879.33,healthy,standard,accepted,low,domestic,USD,high,V000111,150,same_day,none,1
5199,industrial,260.88,10,293879.33,healthy,standard,accepted,low,domestic,USD,high,V000111,220,next_day,capped,1
5085,industrial,6302.41,9,6760290.09,healthy,immediate,accepted,medium,cross_border,EUR,high,V000112,280,same_day,capped,1
5085,industrial,6302.41,9,6760290.09,healthy,immediate,accepted,medium,cross_border,EUR,high,V000112,80,same_day,capped,1
5211,construction,12510.69,6,6910943.29,thin,standard,rejected,high,domestic,USD,high,V000113,280,next_day,none,0
5211,construction,12510.69,6,6910943.29,thin,standard,rejected,high,domestic,USD,high,V000113,150,next_day,capped,1
5199,industrial,501.18,12,845236.52,moderate,fast,never_offered,high,domestic,USD,low,V000114,150,next_day,capped,1
5199,industrial,501.18,12,845236.52,moderate,fast,never_offered,high,domestic,USD,low,V000114,150,same_day,none,1
7399,professional_services,857.83,44,7184624.65,thin,fast,accepted,medium,domestic,USD,high,V000115,80,next_day,none,1
7399,professional_services,857.83,44,7184624.65,thin,fast,accepted,medium,domestic,USD,high,V000115,150,same_day,capped,1
5085,industrial,2816.04,64,31162358.49,moderate,standard,accepted,medium,cross_border,other,medium,V000116,150,next_day,capped,1
5085,industrial,2816.04,64,31162358.49,moderate,standard,accepted,medium,cross_border,other,medium,V000116,150,next_day,none,1
8911,engineering,260.63,24,515200.54,moderate,fast,never_offered,medium,cross_border,GBP,high,V000117,80,next_day,none,1
8911,engineering,260.63,24,515200.54,moderate,fast,never_offered,medium,cross_border,GBP,high,V000117,280,next_day,capped,0
5122,pharma,933.37,5,965356.53,healthy,fast,never_offered,medium,cross_border,EUR,low,V000118,220,next_day,none,0
5122,pharma,933.37,5,965356.53,healthy,fast,never_offered,medium,cross_border,EUR,low,V000118,220,next_day,none,1
