vendor_id,rail,rate_bps,settlement,fee_cap,p_accept,e_ltv
V000042,virtual_card,280,same_day,none,0.559,353045.78
V000043,virtual_card,280,next_day,none,0.471,11751.28
V000044,virtual_card,280,next_day,capped,0.628,153627.64
V000045,virtual_card,280,same_day,none,0.482,141400.66
V000046,ach_flat,0,next_day,n/a,0.97,1070.2
V000047,virtual_card,220,same_day,none,0.636,18618.41
V000048,virtual_card,280,next_day,capped,0.591,42154.29
V000049,virtual_card,280,next_day,none,0.407,198158.66
V000050,ach_flat,0,next_day,n/a,0.97,46949.97
V000051,virtual_card,280,same_day,none,0.471,213776.16
V000052,virtual_card,80,next_day,none,0.501,181632.22
V000053,virtual_card,280,same_day,none,0.698,118196.27
V000054,ach_flat,0,next_day,n/a,0.97,27314.15
V000055,virtual_card,280,same_day,none,0.737,31019.69
V000056,virtual_card,280,next_day,capped,0.78,54496.5
V000057,virtual_card,280,next_day,capped,0.814,265884.91
V000058,ach_flat,0,next_day,n/a,0.97,45088.73
V000059,virtual_card,280,same_day,capped,0.852,112570.66
V000060,virtual_card,280,same_day,none,0.644,426862.06
V000061,virtual_card,280,next_day,capped,0.857,46763.41
V000062,virtual_card,280,next_day,none,0.664,400799.25
V000063,virtual_card,280,next_day,capped,0.567,3192880.5
V000064,virtual_card,280,same_day,none,0.535,27246.0
V000065,virtual_card,280,same_day,none,0.705,9335.95
V000066,ach_flat,0,next_day,n/a,0.97,15256.05
V000067,virtual_card,220,next_day,none,0.585,4590002.5
V000068,virtual_card,220,next_day,none,0.465,121494.38
V000069,virtual_card,280,same_day,capped,0.446,70818.46
V000070,virtual_card,280,same_day,none,0.609,29396.77
V000071,virtual_card,150,same_day,capped,0.431,551059.06
V000072,virtual_card,220,next_day,none,0.496,17086.07
V000073,ach_flat,0,next_day,n/a,0.97,4544.36
V000074,virtual_card,150,next_day,none,0.688,115603.7
V000075,virtual_card,280,same_day,none,0.554,33332.0
V000076,virtual_card,280,same_day,none,0.629,158565.5
V000077,virtual_card,280,same_day,none,0.822,5557777.5
V000078,virtual_card,280,same_day,none,0.811,22851.04
V000079,virtual_card,80,next_day,capped,0.909,6371898.0
V000080,virtual_card,280,same_day,capped,0.69,600899.81
V000081,ach_flat,0,next_day,n/a,0.97,11909.93
V000082,virtual_card,150,same_day,none,0.536,221068.2
V000083,virtual_card,80,next_day,none,0.458,45792.42
V000084,ach_flat,0,next_day,n/a,0.97,2430.7
V000085,virtual_card,220,next_day,none,0.57,2182.74
V000086,virtual_card,150,same_day,none,0.406,47968.89
V000087,virtual_card,280,same_day,none,0.646,185311.91
V000088,virtual_card,220,next_day,none,0.693,255232.33
V000089,virtual_card,280,same_day,none,0.733,10523.02
V000090,virtual_card,280,next_day,capped,0.886,140461.61
V000091,virtual_card,280,next_day,capped,0.48,16229.1
V000092,virtual_card,280,next_day,capped,0.871,27163.68
V000093,virtual_card,150,same_day,none,0.459,16836.03
V000094,virtual_card,280,next_day,none,0.632,58902.21
V000095,virtual_card,280,same_day,none,0.695,41901.98
V000096,virtual_card,280,same_day,none,0.77,69766.34
V000097,virtual_card,280,next_day,none,0.687,1356856.62
V000098,virtual_card,280,same_day,none,0.753,50570.17
V000099,virtual_card,280,same_day,none,0.562,15650.6
V000100,virtual_card,80,next_day,none,0.461,29144.86
V000101,virtual_card,150,same_day,none,0.437,193678.16
V000102,virtual_card,220,same_day,capped,0.502,757655.81
V000103,virtual_card,280,same_day,none,0.464,2763.51
V000104,virtual_card,280,next_day,capped,0.86,82145.73
V000105,virtual_card,150,same_day,none,0.525,13887.23
V000106,virtual_card,280,next_day,capped,0.894,2672.94
V000107,virtual_card,280,same_day,capped,0.874,1779317.88
V000108,ach_flat,0,next_day,n/a,0.97,7351.14
V000109,virtual_card,280,next_day,none,0.577,5407.02
V000110,virtual_card,280,same_day,none,0.439,44192.99
V000111,virtual_card,280,next_day,capped,0.832,17812.08
V000112,virtual_card,280,same_day,capped,0.894,388143.69
V000113,ach_flat,0,next_day,n/a,0.97,7926.05
V000114,virtual_card,280,same_day,none,0.565,40309.18
V000115,virtual_card,280,same_day,none,0.492,275347.16
V000116,virtual_card,280,next_day,none,0.598,1260973.75
V000117,ach_flat,0,next_day,n/a,0.97,29291.26
V000118,virtual_card,280,same_day,none,0.706,45293.39
V000119,ach_flat,0,next_day,n/a,0.97,47334.05
V000120,virtual_card,280,next_day,capped,0.85,5297357.5
V000121,virtual_card,280,next_day,capped,0.666,33672.87
V000122,virtual_card,280,same_day,none,0.684,1765531.62
V000123,virtual_card,150,same_day,none,0.493,23114.9
V000124,virtual_card,150,next_day,none,0.67,680965.0
V000125,ach_flat,0,next_day,n/a,0.97,12419.32
V000126,virtual_card,80,next_day,capped,0.556,58523.93
V000127,virtual_card,280,next_day,capped,0.741,1910610.25
V000128,virtual_card,150,next_day,capped,0.471,56548.55
V000129,virtual_card,220,same_day,capped,0.569,30541.56
V000130,ach_flat,0,next_day,n/a,0.97,43.08
V000131,ach_flat,0,next_day,n/a,0.97,37852.68
V000132,virtual_card,280,same_day,capped,0.473,33751.57
V000133,virtual_card,280,same_day,none,0.582,282951.66
V000134,virtual_card,150,next_day,none,0.555,299115.25
V000135,virtual_card,150,next_day,none,0.731,237033.08
V000136,virtual_card,280,same_day,none,0.503,68625.04
V000137,virtual_card,150,next_day,none,0.519,105865.05
V000138,virtual_card,220,same_day,none,0.597,238088.95
V000139,virtual_card,220,same_day,capped,0.462,63502.23
V000140,virtual_card,280,next_day,none,0.405,235262.97
V000141,virtual_card,280,same_day,none,0.708,19119.45
V000142,virtual_card,280,same_day,capped,0.74,674098.81
V000143,virtual_card,280,same_day,none,0.838,2892064.75
V000144,ach_flat,0,next_day,n/a,0.97,78655.11
V000145,virtual_card,280,same_day,none,0.518,35033.78
V000146,ach_flat,0,next_day,n/a,0.97,3397.27
V000147,virtual_card,280,same_day,none,0.699,2179772.0
V000148,virtual_card,80,next_day,none,0.491,58018.18
V000149,virtual_card,280,next_day,none,0.743,19871.07
V000150,virtual_card,220,next_day,none,0.419,693.54
V000151,virtual_card,280,next_day,none,0.683,1298150.38
V000152,virtual_card,150,next_day,capped,0.453,508812.94
V000153,virtual_card,280,same_day,none,0.547,14215.16
V000154,virtual_card,280,next_day,none,0.552,116946.18
V000155,virtual_card,150,next_day,capped,0.851,568399.19
V000156,virtual_card,280,same_day,none,0.558,15077.07
V000157,virtual_card,280,same_day,none,0.629,24949.25
V000158,virtual_card,280,next_day,none,0.779,64271.55
V000159,virtual_card,280,same_day,none,0.672,257862.38
V000160,virtual_card,280,same_day,none,0.648,86186.04
V000161,virtual_card,280,same_day,none,0.543,137742.92
V000162,virtual_card,80,next_day,none,0.43,24136.51
V000163,virtual_card,280,next_day,capped,0.762,55360.75
V000164,virtual_card,280,same_day,none,0.78,234595.59
V000165,ach_flat,0,next_day,n/a,0.97,9196.86
V000166,virtual_card,280,next_day,none,0.876,2245259.75
V000167,ach_flat,0,next_day,n/a,0.97,8923.2
V000168,ach_flat,0,next_day,n/a,0.97,30912.78
V000169,ach_flat,0,next_day,n/a,0.97,46780.46
V000170,virtual_card,280,next_day,capped,0.56,158654.72
V000171,virtual_card,280,next_day,capped,0.693,26116.84
V000172,virtual_card,280,same_day,none,0.536,50511.39
V000173,virtual_card,280,same_day,none,0.428,230562.7
V000174,virtual_card,280,same_day,none,0.702,303929.84
V000175,ach_flat,0,next_day,n/a,0.97,32009.62
V000176,virtual_card,280,same_day,none,0.465,104551.73
V000177,virtual_card,280,next_day,none,0.492,88504.27
V000178,virtual_card,150,same_day,none,0.412,51892.68
V000179,virtual_card,220,same_day,none,0.626,78482.95
V000180,virtual_card,220,same_day,none,0.444,384279.72
V000181,virtual_card,280,next_day,none,0.735,138309.5
V000182,ach_flat,0,next_day,n/a,0.97,7188.97
V000183,virtual_card,280,same_day,none,0.696,32895.64
V000184,virtual_card,150,same_day,none,0.581,99165.94
V000185,virtual_card,280,same_day,none,0.498,64860.77
V000186,virtual_card,150,next_day,none,0.658,24735.45
V000187,virtual_card,280,next_day,none,0.488,207802.97
V000188,virtual_card,150,same_day,none,0.533,5636.32
V000189,virtual_card,280,same_day,none,0.703,195941.05
V000190,virtual_card,280,same_day,none,0.636,29186.62
V000191,virtual_card,280,same_day,capped,0.825,121976.47
V000192,virtual_card,80,next_day,none,0.595,77752.15
V000193,virtual_card,220,next_day,none,0.45,82669.47
V000194,virtual_card,280,next_day,capped,0.85,45983.86
V000195,virtual_card,280,same_day,none,0.688,160054.59
V000196,ach_flat,0,next_day,n/a,0.97,12178.02
V000197,virtual_card,280,same_day,capped,0.945,218067.06
V000198,virtual_card,280,same_day,none,0.848,1511320.25
V000199,virtual_card,280,same_day,none,0.678,1066190.0
V000200,virtual_card,220,same_day,none,0.601,15029.14
V000201,virtual_card,280,same_day,none,0.47,150666.59
V000202,virtual_card,220,next_day,none,0.577,54512.5
V000203,ach_flat,0,next_day,n/a,0.97,12714.93
V000204,virtual_card,280,same_day,capped,0.879,490150.47
V000205,ach_flat,0,next_day,n/a,0.97,4998.93
V000206,virtual_card,280,same_day,none,0.663,38967.02
V000207,virtual_card,280,next_day,capped,0.452,1222364.0
V000208,virtual_card,280,next_day,capped,0.898,8843.35
V000209,virtual_card,280,same_day,none,0.707,353293.62
V000210,virtual_card,220,same_day,capped,0.443,1409175.12
V000211,virtual_card,280,same_day,capped,0.877,298578.44
V000212,virtual_card,280,next_day,none,0.454,350024.78
V000213,virtual_card,80,same_day,capped,0.443,68565.39
V000214,virtual_card,220,next_day,none,0.403,177813.12
V000215,virtual_card,280,same_day,none,0.728,2284305.75
V000216,virtual_card,280,same_day,none,0.836,11548.63
V000217,virtual_card,280,next_day,capped,0.911,6020.68
V000218,ach_flat,0,next_day,n/a,0.97,32632.66
V000219,virtual_card,280,next_day,none,0.58,3977489.75
V000220,virtual_card,220,same_day,none,0.456,25722.27
V000221,virtual_card,80,next_day,none,0.607,16859.94
V000222,ach_flat,0,next_day,n/a,0.97,61051.65
V000223,ach_flat,0,next_day,n/a,0.97,3997.71
V000224,ach_flat,0,next_day,n/a,0.97,21946.68
V000225,virtual_card,220,same_day,none,0.496,562746.69
V000226,virtual_card,80,next_day,none,0.408,18515.88
V000227,virtual_card,280,next_day,capped,0.825,43020.05
V000228,virtual_card,150,next_day,none,0.462,44601.96
V000229,virtual_card,150,same_day,none,0.461,71357.12
V000230,virtual_card,280,next_day,none,0.544,12176.94
V000231,virtual_card,280,next_day,none,0.733,177104.05
V000232,ach_flat,0,next_day,n/a,0.97,15925.14
V000233,virtual_card,280,same_day,none,0.623,112813.66
V000234,ach_flat,0,next_day,n/a,0.97,15685.25
V000235,virtual_card,280,same_day,none,0.461,145171.67
V000236,virtual_card,280,next_day,capped,0.515,354712.44
V000237,virtual_card,220,same_day,capped,0.753,24362.71
V000238,virtual_card,280,same_day,none,0.477,27730.05
V000239,virtual_card,280,same_day,capped,0.788,89900.67
V000240,virtual_card,150,next_day,none,0.57,204303.7
V000241,virtual_card,280,next_day,capped,0.713,16505.64
V000242,virtual_card,280,same_day,none,0.788,222575.59
V000243,virtual_card,80,same_day,none,0.551,15438.26
V000244,virtual_card,80,next_day,none,0.429,103103.84
V000245,virtual_card,150,next_day,none,0.496,77966.66
V000246,virtual_card,280,same_day,none,0.673,529468.5
V000247,virtual_card,280,same_day,none,0.441,1043488.12
V000248,virtual_card,280,same_day,none,0.558,33235.37
V000249,virtual_card,220,next_day,capped,0.419,7821.55
V000250,virtual_card,220,next_day,capped,0.446,1773332.25
V000251,virtual_card,280,same_day,none,0.739,24505.75
V000252,virtual_card,280,same_day,none,0.696,370559.25
V000253,virtual_card,80,next_day,none,0.493,13463.2
V000254,virtual_card,280,next_day,capped,0.735,16061.29
V000255,virtual_card,280,same_day,none,0.448,164691.97
V000256,virtual_card,80,same_day,none,0.421,155738.56
V000257,virtual_card,280,same_day,capped,0.585,746802.12
V000258,virtual_card,280,same_day,capped,0.828,3866831.0
V000259,virtual_card,220,next_day,none,0.429,5814.25
V000260,virtual_card,280,next_day,none,0.666,6206.28
V000261,virtual_card,280,same_day,none,0.612,684393.06
V000262,virtual_card,280,next_day,capped,0.918,96484.02
V000263,ach_flat,0,next_day,n/a,0.97,30818.51
V000264,ach_flat,0,next_day,n/a,0.97,4998.08
V000265,virtual_card,280,same_day,none,0.579,761895.38
V000266,virtual_card,280,next_day,none,0.692,6124.47
V000267,virtual_card,220,same_day,none,0.571,53831.74
V000268,virtual_card,220,next_day,none,0.467,270149.09
V000269,virtual_card,280,same_day,none,0.59,8207.6
V000270,ach_flat,0,next_day,n/a,0.97,9841.91
V000271,virtual_card,150,same_day,none,0.408,69389.33
V000272,virtual_card,280,next_day,none,0.859,1663.32
V000273,virtual_card,220,same_day,none,0.742,138601.34
V000274,virtual_card,280,same_day,none,0.772,798925.88
V000275,virtual_card,220,same_day,none,0.482,31835.36
V000276,virtual_card,280,same_day,none,0.725,514811.19
V000277,virtual_card,220,same_day,capped,0.76,1920074.25
V000278,virtual_card,280,same_day,capped,0.788,1066475.5
V000279,virtual_card,280,next_day,capped,0.891,185952.42
V000280,virtual_card,280,next_day,capped,0.903,3979408.75
V000281,virtual_card,220,same_day,none,0.593,293743.06
V000282,virtual_card,150,next_day,none,0.498,35275.68
V000283,virtual_card,280,next_day,none,0.488,690920.0
V000284,virtual_card,220,next_day,none,0.485,14362.83
V000285,ach_flat,0,next_day,n/a,0.97,3557.27
V000286,virtual_card,280,next_day,none,0.599,282671.06
V000287,virtual_card,220,same_day,none,0.593,144958.83
V000288,virtual_card,220,same_day,capped,0.608,793749.62
V000289,ach_flat,0,next_day,n/a,0.97,200.7
V000290,ach_flat,0,next_day,n/a,0.97,8001.72
V000291,virtual_card,280,next_day,capped,0.609,985950.69
V000292,virtual_card,280,next_day,none,0.607,560778.69
V000293,virtual_card,150,next_day,none,0.539,31942.71
V000294,ach_flat,0,next_day,n/a,0.97,588.01
V000295,virtual_card,80,next_day,none,0.439,56616.18
V000296,ach_flat,0,next_day,n/a,0.97,22864.61
V000297,ach_flat,0,next_day,n/a,0.97,429.0
V000298,virtual_card,280,next_day,capped,0.833,25616.37
V000299,virtual_card,80,next_day,capped,0.667,478278.03
V000300,virtual_card,280,same_day,none,0.542,1175516.62
V000301,virtual_card,80,next_day,capped,0.902,955431.06
V000302,virtual_card,220,same_day,none,0.502,16184.96
V000303,ach_flat,0,next_day,n/a,0.97,17295.2
V000304,virtual_card,280,same_day,none,0.821,52030.76
V000305,virtual_card,280,same_day,none,0.602,22716.21
V000306,virtual_card,220,same_day,none,0.506,22497.7
V000307,virtual_card,280,same_day,none,0.647,151598.44
V000308,virtual_card,280,next_day,capped,0.886,590791.94
V000309,ach_flat,0,next_day,n/a,0.97,26785.68
V000310,virtual_card,150,next_day,capped,0.469,21293.54
V000311,virtual_card,280,next_day,capped,0.854,243685.91
V000312,ach_flat,0,next_day,n/a,0.97,35741.66
V000313,ach_flat,0,next_day,n/a,0.97,80930.68
V000314,virtual_card,80,next_day,none,0.412,142343.36
V000315,virtual_card,280,same_day,none,0.719,37107.29
V000316,ach_flat,0,next_day,n/a,0.97,32022.97
V000317,ach_flat,0,next_day,n/a,0.97,44889.23
V000318,virtual_card,280,next_day,capped,0.871,221424.23
V000319,virtual_card,220,same_day,capped,0.457,13514.1
V000320,virtual_card,280,same_day,none,0.879,599546.44
V000321,virtual_card,280,same_day,none,0.55,65870.73
V000322,ach_flat,0,next_day,n/a,0.97,20978.43
V000323,virtual_card,280,next_day,none,0.603,67068.48
V000324,virtual_card,220,same_day,none,0.455,105290.41
V000325,virtual_card,220,same_day,none,0.45,129180.32
V000326,virtual_card,280,same_day,none,0.514,8459.59
V000327,virtual_card,280,same_day,none,0.692,177989.52
V000328,virtual_card,280,same_day,none,0.749,464760.28
V000329,virtual_card,280,next_day,capped,0.874,52824.04
V000330,ach_flat,0,next_day,n/a,0.97,13831.55
V000331,virtual_card,280,next_day,capped,0.767,210358.59
V000332,virtual_card,280,same_day,none,0.489,60822.11
V000333,virtual_card,280,same_day,none,0.4,196281.45
V000334,ach_flat,0,next_day,n/a,0.97,52406.95
V000335,virtual_card,150,same_day,none,0.471,38834.54
V000336,virtual_card,280,next_day,capped,0.604,1118221.62
V000337,ach_flat,0,next_day,n/a,0.97,45005.86
V000338,virtual_card,280,same_day,none,0.415,70553.95
V000339,virtual_card,280,same_day,none,0.505,46664.61
V000340,virtual_card,220,same_day,none,0.489,37641.96
V000341,ach_flat,0,next_day,n/a,0.97,28440.23
V000342,virtual_card,220,same_day,none,0.758,23684.67
V000343,virtual_card,280,same_day,none,0.415,541334.12
V000344,virtual_card,280,next_day,none,0.739,51980.16
V000345,virtual_card,280,same_day,none,0.655,37723.96
V000346,virtual_card,150,next_day,none,0.501,5092.92
V000347,virtual_card,280,next_day,capped,0.78,11099.59
V000348,ach_flat,0,next_day,n/a,0.97,1142.13
V000349,virtual_card,280,next_day,none,0.613,6725.35
V000350,virtual_card,150,next_day,none,0.52,32080.7
V000351,virtual_card,220,same_day,capped,0.562,785129.06
V000352,virtual_card,220,same_day,capped,0.563,116814.88
V000353,virtual_card,280,same_day,capped,0.604,1002609.94
V000354,virtual_card,150,next_day,none,0.675,123506.2
V000355,virtual_card,280,next_day,none,0.751,9476.32
V000356,virtual_card,80,same_day,none,0.444,32582.57
V000357,virtual_card,220,next_day,capped,0.43,52807.32
V000358,virtual_card,280,next_day,capped,0.554,132121.84
V000359,virtual_card,280,next_day,none,0.484,155038.72
V000360,ach_flat,0,next_day,n/a,0.97,5322.75
V000361,virtual_card,150,next_day,capped,0.529,1945844.25
V000362,ach_flat,0,next_day,n/a,0.97,4660.36
V000363,virtual_card,80,next_day,none,0.44,148397.09
V000364,virtual_card,280,next_day,capped,0.884,106516.95
V000365,virtual_card,280,next_day,none,0.414,103830.15
V000366,virtual_card,280,next_day,none,0.528,127014.23
V000367,ach_flat,0,next_day,n/a,0.97,2857.76
V000368,virtual_card,280,next_day,none,0.756,820475.38
V000369,virtual_card,280,same_day,none,0.628,9348.98
V000370,virtual_card,150,next_day,none,0.439,2572.16
V000371,virtual_card,280,next_day,capped,0.77,474552.91
V000372,virtual_card,220,same_day,capped,0.445,39956.78
V000373,virtual_card,220,same_day,none,0.406,7838.46
V000374,ach_flat,0,next_day,n/a,0.97,6369.51
V000375,virtual_card,220,next_day,capped,0.442,107669.42
V000376,ach_flat,0,next_day,n/a,0.97,63979.3
V000377,virtual_card,80,next_day,none,0.471,9328.72
V000378,virtual_card,220,next_day,capped,0.558,101764.0
V000379,virtual_card,220,next_day,capped,0.454,7149.22
V000380,virtual_card,280,same_day,none,0.788,40886.14
V000381,virtual_card,280,next_day,none,0.44,262201.12
V000382,virtual_card,280,next_day,none,0.557,803.73
V000383,virtual_card,280,same_day,none,0.667,5952471.5
V000384,ach_flat,0,next_day,n/a,0.97,2899.37
V000385,virtual_card,220,same_day,capped,0.494,172109.2
V000386,ach_flat,0,next_day,n/a,0.97,30428.45
V000387,virtual_card,150,same_day,none,0.466,6734.65
V000388,virtual_card,280,next_day,none,0.587,143159.88
V000389,virtual_card,280,same_day,none,0.496,594466.62
V000390,virtual_card,80,next_day,capped,0.521,254682.61
V000391,virtual_card,280,same_day,none,0.763,517010.59
V000392,virtual_card,220,same_day,none,0.672,139000.81
V000393,virtual_card,280,same_day,none,0.727,69010.93
V000394,virtual_card,280,next_day,none,0.497,57417.87
V000395,virtual_card,280,next_day,capped,0.846,16007.02
V000396,ach_flat,0,next_day,n/a,0.97,5527.62
V000397,ach_flat,0,next_day,n/a,0.97,19373.2
V000398,virtual_card,150,same_day,none,0.504,51642.57
V000399,virtual_card,220,next_day,capped,0.443,129517.89
V000400,virtual_card,280,next_day,none,0.664,111316.83
V000401,virtual_card,150,next_day,none,0.445,45287.29
V000402,virtual_card,280,same_day,none,0.47,31936.51
V000403,virtual_card,80,same_day,none,0.509,38328.83
V000404,ach_flat,0,next_day,n/a,0.97,504.93
V000405,virtual_card,280,same_day,none,0.588,317851.75
V000406,virtual_card,220,next_day,none,0.405,19754.2
V000407,virtual_card,280,same_day,none,0.526,649243.19
V000408,ach_flat,0,next_day,n/a,0.97,1672.08
V000409,virtual_card,220,same_day,none,0.472,5056.32
V000410,virtual_card,280,same_day,none,0.585,22837.13
V000411,virtual_card,80,next_day,none,0.548,73307.44
V000412,virtual_card,80,next_day,none,0.521,32264.83
V000413,virtual_card,280,next_day,none,0.536,375063.19
V000414,virtual_card,280,next_day,none,0.403,7642.22
V000415,virtual_card,220,same_day,none,0.416,99836.81
V000416,virtual_card,280,next_day,capped,0.63,37129.1
V000417,virtual_card,280,next_day,none,0.716,12383.02
V000418,virtual_card,150,same_day,capped,0.811,3852527.25
V000419,virtual_card,220,same_day,none,0.559,139627.97
V000420,virtual_card,80,next_day,none,0.601,225192.84
V000421,ach_flat,0,next_day,n/a,0.97,21619.95
V000422,virtual_card,280,next_day,capped,0.487,634953.69
V000423,virtual_card,280,next_day,capped,0.555,127436.02
V000424,ach_flat,0,next_day,n/a,0.97,1975.42
V000425,virtual_card,80,same_day,none,0.47,4947.91
V000426,virtual_card,220,same_day,none,0.652,90475.35
V000427,ach_flat,0,next_day,n/a,0.97,3502.68
V000428,virtual_card,220,same_day,none,0.444,296370.91
V000429,virtual_card,280,next_day,none,0.503,113929.73
V000430,virtual_card,280,same_day,none,0.848,38119.64
V000431,virtual_card,280,same_day,none,0.628,374072.78
V000432,virtual_card,280,next_day,capped,0.527,81889.31
V000433,ach_flat,0,next_day,n/a,0.97,14123.84
V000434,ach_flat,0,next_day,n/a,0.97,21167.02
V000435,ach_flat,0,next_day,n/a,0.97,10178.13
V000436,virtual_card,280,same_day,none,0.466,366422.22
V000437,virtual_card,280,next_day,capped,0.59,897.01
V000438,virtual_card,220,same_day,capped,0.402,18084.05
V000439,virtual_card,280,next_day,none,0.722,92495.99
V000440,virtual_card,280,same_day,none,0.626,1677367.25
V000441,virtual_card,280,next_day,capped,0.683,151038.55
V000442,virtual_card,280,next_day,none,0.432,79228.4
V000443,virtual_card,150,next_day,none,0.576,8967.61
V000444,virtual_card,150,next_day,none,0.536,165279.84
V000445,virtual_card,280,next_day,none,0.534,359275.0
V000446,virtual_card,280,next_day,none,0.411,6679.32
V000447,virtual_card,280,same_day,capped,0.586,136450.7
V000448,virtual_card,80,next_day,none,0.498,8354.02
V000449,virtual_card,280,same_day,none,0.541,125602.95
V000450,virtual_card,220,same_day,none,0.408,271477.72
V000451,virtual_card,280,next_day,none,0.544,175589.7
V000452,virtual_card,80,next_day,none,0.424,34246.91
V000453,ach_flat,0,next_day,n/a,0.97,18310.48
V000454,virtual_card,280,next_day,none,0.658,57716.19
V000455,virtual_card,150,next_day,capped,0.555,647340.81
V000456,virtual_card,280,same_day,none,0.766,811489.75
V000457,virtual_card,150,next_day,none,0.505,15119.28
V000458,virtual_card,150,next_day,none,0.412,204874.31
V000459,ach_flat,0,next_day,n/a,0.97,31363.27
V000460,virtual_card,280,same_day,capped,0.745,26465.95
V000461,virtual_card,280,same_day,none,0.532,1094338.62
V000462,virtual_card,280,same_day,none,0.672,75442.32
V000463,ach_flat,0,next_day,n/a,0.97,4500.63
V000464,virtual_card,280,same_day,none,0.789,686085.38
V000465,ach_flat,0,next_day,n/a,0.97,10982.58
V000466,virtual_card,280,same_day,none,0.463,70440.53
V000467,virtual_card,150,next_day,none,0.464,322875.94
V000468,virtual_card,280,same_day,capped,0.845,4523089.0
V000469,virtual_card,280,next_day,capped,0.617,266232.75
V000470,virtual_card,150,same_day,capped,0.485,32532.38
V000471,ach_flat,0,next_day,n/a,0.97,17766.0
V000472,virtual_card,220,next_day,none,0.475,31423.02
V000473,ach_flat,0,next_day,n/a,0.97,57480.56
V000474,virtual_card,280,same_day,capped,0.753,3913.59
V000475,virtual_card,220,same_day,none,0.49,94138.46
V000476,ach_flat,0,next_day,n/a,0.97,7890.72
V000477,ach_flat,0,next_day,n/a,0.97,8974.25
V000478,virtual_card,280,next_day,capped,0.91,4789.89
V000479,virtual_card,280,next_day,capped,0.822,67387.13
V000480,virtual_card,280,next_day,none,0.459,6708.95
V000481,virtual_card,280,same_day,capped,0.721,1159437.75
V000482,virtual_card,280,same_day,none,0.809,1389060.38
V000483,virtual_card,280,same_day,none,0.812,33768.01
V000484,virtual_card,150,next_day,none,0.497,46369.04
V000485,virtual_card,220,next_day,none,0.587,344835.97
V000486,virtual_card,280,next_day,capped,0.814,120791.2
V000487,ach_flat,0,next_day,n/a,0.97,38279.72
V000488,virtual_card,150,next_day,none,0.5,25077.64
V000489,virtual_card,280,next_day,none,0.752,144455.52
V000490,virtual_card,280,same_day,none,0.701,346797.06
V000491,ach_flat,0,next_day,n/a,0.97,8039.16
V000492,virtual_card,280,next_day,capped,0.844,147522.62
V000493,virtual_card,280,same_day,none,0.794,526594.75
V000494,virtual_card,150,next_day,capped,0.406,16345.25
V000495,virtual_card,220,same_day,none,0.534,149013.7
V000496,virtual_card,150,next_day,none,0.446,41703.76
V000497,ach_flat,0,next_day,n/a,0.97,3628.72
V000498,virtual_card,150,next_day,none,0.595,145527.98
V000499,virtual_card,280,next_day,capped,0.728,881825.56
V000500,virtual_card,80,next_day,none,0.449,3298.21
V000501,ach_flat,0,next_day,n/a,0.97,67983.64
V000502,virtual_card,220,same_day,none,0.741,35261.63
