mcc,avg_ticket,max_ticket,monthly_txn_count,annual_spend,tenure_months,is_new_to_platform,current_payment_method,card_acceptance_history,past_data_quality_score,days_sales_outstanding,strategic_vendor,risk_level,metadata_strategy
8911,15594.8,28111.9,16,2994201.6,50,False,card,accepted,0.483,24,False,low,send_minimal
5172,10732.58,73825.18,11,1416700.56,1,True,ach,accepted,0.086,32,False,medium,send_minimal
4214,35122.91,260407.38,10,4214749.2,3,True,ach,accepted,0.417,35,False,medium,send_minimal
7372,4260.85,26303.13,4,204520.8,82,False,ach,rejected,0.567,34,True,low,send_minimal
7392,21184.62,78232.92,28,7118032.32,40,False,ach,rejected,0.698,52,True,low,send_minimal
7392,3676.53,23021.73,12,105830916.99542885,7,False,ach,rejected,0.739,51,False,high,send_minimal
5111,337.07,959.36,11,44493.24,128,False,card,rejected,0.859,33,False,low,send_minimal
5169,2034.75,12392.58,4,97668.0,47,False,card,rejected,0.37,53,False,medium,send_minimal
5199,1012.57,1824.45,3,36452.52,144,False,check,accepted,0.488,53,False,medium,send_minimal
5199,589.11,1616.27,13,91901.16,71,False,check,accepted,,46,False,low,send_minimal
5065,2908.0,12271.04,23,802608.0,71,False,ach,rejected,0.738,44,True,low,send_minimal
5211,3002.35,5161.32,6,216169.2,3,True,card,accepted,0.475,28,False,medium,send_partial
5111,265.23,1646.78,14,44558.64,19,False,card,rejected,0.0,59,False,medium,send_partial
7392,2803.71,16941.47,5,42033155.16928619,65,False,ach,rejected,0.603,43,True,low,send_minimal
7372,9625.04,68950.85,13,1501506.24,119,False,card,rejected,0.541,61,True,medium,send_minimal
4214,5141.69,21539.94,15,925504.2,1,True,ach,never_offered,0.597,51,False,medium,send_minimal
7392,431.62,833.74,20,103588.8,171,False,check,accepted,0.734,59,False,low,send_minimal
5169,2260.89,9451.67,11,298437.48,44,False,ach,rejected,0.772,59,False,low,send_partial
8911,1402.47,7290.87,9,151466.76,73,False,ach,accepted,0.562,42,False,high,send_minimal
5172,992.67,6692.17,13,154856.52,156,False,check,accepted,0.47,49,False,low,send_minimal
5137,452.6,2091.71,4,21724.8,178,False,check,accepted,0.64,39,False,low,send_minimal
4214,10279.36,68036.57,8,986818.56,13,False,ach,rejected,0.141,81,False,low,send_partial
5169,281.76,568.75,42,142007.04,141,False,card,accepted,,54,False,low,send_minimal
5085,1233.24,2505.88,21,310776.48,5,True,check,never_offered,0.4,30,False,low,send_minimal
5199,312.56,801.5,8,30005.76,4,True,ach,rejected,,31,False,medium,send_minimal
7392,5575.55,42152.12,16,1070505.6,34,False,check,accepted,0.628,47,False,low,send_minimal
5111,224.13,1309.09,5,13447.8,1,True,ach,never_offered,0.618,31,False,low,send_minimal
5172,3629.1,8735.18,18,783885.6,15,False,ach,accepted,0.758,65,False,medium,send_minimal
5085,2275.05,5645.92,4,109202.4,44,False,check,rejected,0.324,36,False,low,send_partial
7372,59896.04,296389.17,11,7906277.28,3,True,check,never_offered,0.04,43,False,medium,send_minimal
5199,1193.76,2741.91,26,372453.12,54,False,card,accepted,0.385,39,True,low,send_minimal
5137,283.06,768.56,1,3396.72,0,True,check,never_offered,0.723,72,False,medium,send_full
5122,2374.25,8900.44,7,199437.0,65,False,ach,accepted,0.627,15,False,low,send_minimal
5211,890.46,4110.35,10,106855.2,143,False,card,rejected,0.469,59,False,low,send_minimal
7372,21443.14,59722.46,9,2315859.12,30,False,ach,rejected,0.727,80,True,high,send_minimal
8911,31779.12,194315.65,14,5338892.16,103,False,ach,rejected,0.483,49,True,low,send_minimal
5172,7586.87,18023.25,13,1183551.72,55,False,card,rejected,0.451,29,True,high,send_minimal
5111,146.81,714.96,7,12332.04,15,False,ach,rejected,,56,False,medium,send_partial
7399,1835.46,10009.01,8,176204.16,75,False,card,accepted,0.735,43,False,low,send_minimal
5734,2387.55,4389.99,11,315156.6,17,False,card,rejected,0.194,49,False,high,send_minimal
7372,2027.12,6231.6,14,340556.16,79,False,card,accepted,0.434,31,True,low,send_minimal
5085,615.87,1224.39,7,51733.08,48,False,ach,rejected,0.744,41,False,low,send_minimal
5137,569.02,1218.28,14,95595.36,28,False,card,accepted,0.583,57,False,medium,send_minimal
7392,3627.6,24752.14,14,609436.8,111,False,ach,rejected,0.808,59,True,low,send_partial
7399,2001.66,9505.48,25,600498.0,85,False,ach,rejected,0.685,67,True,medium,send_minimal
5172,17019.72,60611.37,20,4084732.8,153,False,ach,accepted,0.664,58,False,low,send_minimal
7399,72.37,131.87,38,33000.72,146,False,card,rejected,0.373,50,False,low,send_minimal
7399,638.09,4741.85,16,122513.28,2,True,card,never_offered,0.854,77,False,low,send_partial
5169,2481.74,18198.56,8,238247.04,132,False,card,rejected,0.804,50,False,medium,send_minimal
4214,3195.39,15403.48,10,383446.8,93,False,ach,accepted,0.178,71,False,medium,send_minimal
5137,476.91,3546.38,5,28614.6,1,True,check,never_offered,,45,False,low,send_full
5122,6115.18,14180.27,14,1027350.24,55,False,check,accepted,0.735,32,True,high,send_minimal
7372,1740.58,13154.9,36,751930.56,29,False,check,rejected,0.64,44,False,low,send_minimal
5734,1694.01,3232.96,21,426890.52,86,False,ach,rejected,1.0,55,True,high,send_minimal
5111,322.11,1189.61,13,50249.16,2,True,card,never_offered,0.553,38,False,low,send_minimal
7399,10446.75,49114.41,5,626805.0,91,False,check,accepted,0.604,42,True,medium,send_minimal
5111,1662.61,9035.48,15,299269.8,93,False,card,rejected,0.414,69,False,low,send_minimal
7399,227.78,1551.27,32,87467.52,120,False,card,accepted,0.814,27,False,low,send_minimal
5065,3942.89,28623.98,5,236573.4,140,False,card,accepted,0.418,26,True,low,send_minimal
7392,1539.51,8659.86,5,92370.6,175,False,ach,rejected,0.866,73,False,medium,send_minimal
7392,1098.97,7183.49,6,79125.84,5,True,ach,accepted,0.798,39,False,low,send_minimal
7392,12503.17,62706.44,3,450114.12,15,False,ach,accepted,1.0,38,False,low,send_full
5734,6563.82,44342.43,17,1339019.28,2,True,check,never_offered,0.765,45,False,low,send_minimal
5199,572.86,2123.73,25,171858.0,83,False,card,accepted,0.567,49,True,low,send_minimal
7372,6316.65,40727.6,32,2425593.6,90,False,card,accepted,0.734,29,True,low,send_minimal
5137,364.29,1560.26,3,13114.44,5,True,ach,never_offered,0.665,59,False,low,send_partial
7392,3304.47,12123.15,6,237921.84,138,False,ach,accepted,0.296,27,True,high,send_minimal
5211,6465.65,25870.61,1,77587.8,84,False,ach,rejected,0.41,75,False,medium,send_minimal
5172,9900.26,47331.49,1,118803.12,40,False,check,rejected,0.995,43,False,low,send_minimal
5199,74.86,575.84,23,20661.36,130,False,card,accepted,,52,False,low,send_minimal
5211,8568.99,44396.87,24,2467869.12,3,True,card,never_offered,0.703,27,False,medium,send_minimal
5065,279.85,1391.71,22,73880.4,3,True,ach,rejected,0.249,49,False,low,send_minimal
5111,603.07,1925.79,4,8094091.512715549,57,False,card,accepted,0.615,41,True,low,send_minimal
5122,3390.46,10943.86,6,244113.12,85,False,ach,rejected,0.982,55,False,low,send_partial
5085,1472.25,5387.84,4,70668.0,111,False,check,rejected,0.0,62,False,medium,send_minimal
5172,17683.26,90428.98,17,3607385.04,5,True,card,rejected,0.838,56,False,low,send_minimal
7372,15931.03,101009.78,18,3441102.48,3,True,check,never_offered,0.599,42,False,low,send_minimal
5734,1201.06,4133.39,6,86476.32,109,False,card,accepted,0.535,41,False,low,send_minimal
5199,169.62,591.86,32,65134.08,46,False,ach,accepted,0.177,29,False,low,send_minimal
7399,2015.86,12737.83,8,193522.56,82,False,check,accepted,0.451,48,False,low,send_minimal
5211,800.86,4071.17,6,57661.92,113,False,ach,rejected,0.385,37,False,low,send_minimal
5085,2703.62,8618.44,23,746199.12,102,False,card,accepted,0.412,43,True,low,send_minimal
7392,2407.47,7197.03,19,548903.16,130,False,check,rejected,0.667,72,False,low,send_minimal
5211,1740.72,11751.02,11,229775.04,2,True,ach,never_offered,,47,False,medium,send_partial
5734,1560.57,8604.14,5,93634.2,168,False,card,accepted,0.79,58,False,low,send_minimal
5211,2711.8,11757.7,9,292874.4,5,True,check,never_offered,0.799,39,False,low,send_minimal
5211,1712.12,8872.08,12,246545.28,147,False,ach,accepted,0.536,46,False,high,send_minimal
5085,2968.37,18477.72,10,356204.4,119,False,card,accepted,0.813,39,True,medium,send_minimal
5211,11729.84,40396.29,10,1407580.8,4,True,card,never_offered,0.43,55,False,low,send_minimal
7392,1254.09,3337.55,31,466521.48,14,False,check,accepted,0.386,50,False,high,send_minimal
5137,297.95,1447.26,28,100111.2,98,False,ach,rejected,0.534,51,False,medium,send_minimal
5734,746.58,4777.0,28,250850.88,2,True,card,never_offered,0.491,44,False,medium,send_partial
5065,682.71,2986.25,8,65540.16,154,False,ach,accepted,0.468,40,False,low,send_minimal
5169,19041.74,66823.79,16,3656014.08,19,False,check,rejected,0.353,54,False,high,send_minimal
5172,2712.68,4072.82,18,585938.88,34,False,card,rejected,0.834,39,False,low,send_minimal
8911,41156.03,210613.12,9,4444851.24,107,False,ach,rejected,0.712,71,False,low,send_minimal
5122,1033.07,5383.62,37,458683.08,66,False,ach,rejected,0.177,37,True,low,send_minimal
5137,162.36,1217.0,5,9741.6,69,False,check,rejected,0.769,58,False,low,send_partial
5172,4791.19,35890.6,20,1149885.6,73,False,check,rejected,0.781,28,True,low,send_minimal
8911,7301.45,55115.16,12,1051408.8,146,False,check,accepted,0.757,51,True,low,send_minimal
7399,1024.25,5189.11,16,196656.0,104,False,ach,accepted,0.667,35,False,low,send_minimal
5065,1824.09,11653.7,32,700450.56,150,False,ach,rejected,0.374,51,True,low,send_minimal
5122,4184.65,23822.54,15,753237.0,5,True,check,rejected,0.553,62,False,medium,send_partial
7399,714.63,5393.47,5,42877.8,65,False,check,rejected,0.802,65,False,low,send_minimal
5065,3057.5,20473.99,10,366900.0,1,True,ach,rejected,,28,False,high,send_minimal
7399,1305.76,7415.12,22,344720.64,48,False,ach,rejected,,64,False,high,send_minimal
5137,3140.75,13230.17,5,188445.0,0,True,ach,never_offered,0.733,46,False,medium,send_minimal
4214,757.41,2249.58,13,118155.96,100,False,ach,accepted,0.502,33,False,low,send_minimal
5137,591.21,1129.98,10,70945.2,110,False,ach,accepted,0.361,39,False,low,send_minimal
5172,18947.35,118084.81,15,3410523.0,36,False,card,rejected,0.348,52,True,medium,send_minimal
5734,4343.08,9610.14,18,938105.28,4,True,ach,never_offered,0.468,22,False,low,send_minimal
5085,4200.75,14744.04,10,504090.0,138,False,card,rejected,0.35,45,False,low,send_minimal
5211,11841.96,41564.21,20,2842070.4,16,False,ach,rejected,0.481,31,False,high,send_minimal
5199,621.37,4969.13,6,44738.64,10,False,check,accepted,0.376,47,False,low,send_minimal
7392,3081.01,5504.4,12,443665.44,4,True,ach,never_offered,0.406,44,False,low,send_minimal
8911,14069.68,54211.17,6,1013016.96,154,False,ach,rejected,0.56,52,False,medium,send_minimal
5734,585.12,3613.93,5,35107.2,4,True,check,never_offered,,58,False,medium,send_partial
5172,1589.6,6318.05,4,76300.8,33,False,ach,rejected,0.14,44,False,medium,send_partial
5172,11704.4,73332.44,15,2106792.0,107,False,check,rejected,0.552,45,True,low,send_minimal
5172,14365.2,75021.63,35,6033384.0,158,False,ach,rejected,0.296,14,True,low,send_minimal
7399,1142.29,2687.62,6,82244.88,7,False,ach,rejected,0.653,40,False,low,send_minimal
5137,669.29,4545.32,10,80314.8,141,False,card,rejected,0.627,51,False,low,send_minimal
5111,552.13,4232.72,13,86132.28,91,False,ach,accepted,0.435,60,False,medium,send_minimal
5169,10464.07,27966.5,8,1004550.72,4,True,check,never_offered,,64,False,low,send_partial
5065,308.17,1971.15,16,59168.64,2,True,ach,rejected,0.78,34,False,low,send_minimal
5085,1343.78,4224.57,8,129002.88,128,False,card,rejected,,34,False,medium,send_partial
5085,867.78,4452.04,1,10413.36,106,False,ach,accepted,0.349,36,False,medium,send_minimal
7392,40344.53,316568.22,18,8714418.48,4,True,card,accepted,,53,False,medium,send_minimal
7372,60101.95,337255.7,3,2163670.2,5,True,check,never_offered,0.362,65,False,low,send_minimal
7372,34575.61,243212.74,17,7053424.44,0,True,ach,never_offered,0.266,36,False,medium,send_minimal
5172,1199.79,7862.83,17,244757.16,2,True,ach,never_offered,0.526,41,False,low,send_minimal
7372,211.53,370.44,7,17768.52,5,True,check,never_offered,0.127,52,False,low,send_partial
5111,261.48,1787.32,13,40790.88,123,False,check,accepted,0.596,60,False,low,send_minimal
4214,5084.05,40553.83,10,610086.0,91,False,card,accepted,,33,True,low,send_minimal
5199,663.64,4594.31,13,103527.84,0,True,check,never_offered,0.115,53,False,low,send_full
8911,4142.94,16154.36,4,198861.12,114,False,ach,accepted,0.953,32,False,low,send_minimal
5111,493.49,1062.77,10,59218.8,93,False,card,accepted,1.0,48,False,low,send_minimal
5199,3669.8,19381.6,9,396338.4,94,False,ach,accepted,0.086,52,False,medium,send_minimal
7372,781.73,4158.71,15,140711.4,144,False,ach,accepted,0.453,55,False,medium,send_minimal
5199,1104.16,3706.07,9,119249.28,8,False,card,rejected,0.407,61,False,low,send_full
5172,3549.62,13625.87,8,340763.52,72,False,check,rejected,1.0,40,False,medium,send_minimal
5111,1752.87,3629.52,20,102275040.89390074,7,False,ach,rejected,0.664,48,False,medium,send_minimal
5169,92.73,513.42,27,30044.52,107,False,ach,accepted,0.712,46,False,medium,send_minimal
5122,26788.65,136166.43,9,2893174.2,161,False,ach,rejected,0.91,29,True,medium,send_minimal
5137,595.78,3122.87,3,21448.08,157,False,card,rejected,0.345,59,False,low,send_partial
7372,971.69,6371.63,10,116602.8,139,False,check,rejected,0.24,35,False,medium,send_minimal
5734,559.64,3756.34,4,26862.72,88,False,ach,rejected,,36,False,low,send_minimal
5734,1329.89,2064.0,26,414925.68,60,False,ach,rejected,,46,True,low,send_minimal
5169,12053.94,46329.43,8,119750417.84502032,53,False,check,accepted,0.786,29,False,low,send_minimal
8911,24302.74,111028.68,7,2041430.16,171,False,check,accepted,0.449,59,True,low,send_minimal
5085,4140.93,30667.13,11,546602.76,43,False,check,accepted,0.891,60,False,low,send_minimal
5169,4692.46,26934.34,13,732023.76,137,False,check,rejected,,31,False,low,send_minimal
5085,1435.12,10124.77,9,154992.96,66,False,ach,accepted,0.386,48,True,low,send_minimal
5169,2572.08,5214.03,23,709894.08,141,False,check,accepted,0.616,52,True,low,send_minimal
8911,7248.19,14147.61,17,1478630.76,4,True,ach,never_offered,0.336,45,False,low,send_minimal
5169,2200.36,4428.2,9,237638.88,1,True,card,never_offered,0.833,26,False,medium,send_minimal
4214,6072.66,22602.23,7,510103.44,84,False,check,rejected,,46,True,medium,send_minimal
5199,1671.37,12659.09,2,40112.88,172,False,ach,rejected,,47,False,low,send_minimal
7372,4065.0,25004.64,8,390240.0,2,True,ach,never_offered,0.676,47,False,high,send_partial
5172,9254.45,60585.17,4,444213.6,2,True,check,rejected,0.378,31,False,low,send_full
5122,853.22,6249.04,11,112625.04,1,True,ach,never_offered,0.228,50,False,low,send_full
7392,1351.11,6968.03,9,145919.88,110,False,check,accepted,0.939,71,False,medium,send_minimal
8911,6178.71,24058.43,1,8773092.447932249,4,True,check,never_offered,0.879,46,False,medium,send_minimal
5122,2849.48,14118.14,13,444518.88,3,True,check,never_offered,0.879,32,False,low,send_partial
7392,1327.56,8675.49,13,207099.36,45,False,ach,rejected,0.879,42,False,low,send_minimal
5122,2534.96,17247.59,11,334614.72,54,False,check,rejected,0.748,46,False,low,send_minimal
7372,231.28,1719.2,6,16652.16,61,False,check,rejected,0.662,64,False,low,send_minimal
7392,212.13,483.8,13,3243442.232375262,2,True,card,accepted,0.799,23,False,low,send_minimal
5172,9119.76,58134.69,8,875496.96,5,True,card,never_offered,0.232,37,False,medium,send_minimal
7392,5239.21,35247.69,8,502964.16,96,False,ach,accepted,0.264,44,False,low,send_minimal
5137,483.35,2376.32,17,98603.4,58,False,card,accepted,0.716,27,False,high,send_minimal
5085,5715.03,9136.76,20,1371607.2,45,False,check,rejected,0.55,29,False,medium,send_minimal
5085,4904.2,23152.7,4,235401.6,90,False,ach,rejected,0.182,51,False,low,send_minimal
5172,7007.56,41600.73,11,924997.92,59,False,check,accepted,0.099,43,False,low,send_minimal
4214,2345.93,6791.38,14,394116.24,62,False,ach,accepted,0.956,58,True,low,send_minimal
5085,91050.51,274955.28,16,17481697.92,77,False,ach,accepted,,65,True,medium,send_partial
5172,45575.77,219719.66,7,166509664.38327864,179,False,ach,accepted,0.073,34,False,low,send_minimal
7372,171.77,1160.98,13,26796.12,90,False,check,rejected,0.546,55,False,low,send_minimal
5122,1278.94,4572.12,7,107430.96,52,False,card,accepted,1.0,31,False,high,send_minimal
7372,19002.15,119372.63,9,2052232.2,7,False,check,rejected,0.698,51,False,medium,send_partial
5137,728.78,3983.9,3,26236.08,74,False,card,accepted,,53,False,low,send_minimal
7399,2710.91,16062.14,21,683149.32,99,False,card,rejected,0.591,55,False,medium,send_minimal
5211,3012.75,23051.58,11,397683.0,169,False,card,rejected,0.919,58,False,low,send_minimal
5211,3392.39,10210.67,8,325669.44,83,False,check,accepted,0.56,79,True,medium,send_minimal
5111,600.17,4783.27,23,165646.92,5,True,check,never_offered,0.886,60,False,low,send_partial
5172,1368.49,9560.11,3,49265.64,164,False,check,accepted,0.61,49,False,low,send_minimal
7399,1266.93,9609.43,6,91218.96,2,True,ach,never_offered,0.661,35,False,low,send_minimal
5065,670.17,1768.86,6,48252.24,158,False,ach,rejected,0.0,64,False,low,send_minimal
7392,3593.52,17711.06,8,344977.92,37,False,ach,accepted,0.657,59,False,low,send_minimal
5199,1021.46,2735.05,9,110317.68,149,False,card,rejected,0.693,38,False,high,send_minimal
7372,14505.47,54669.21,13,2262853.32,93,False,card,rejected,0.599,43,True,low,send_minimal
5734,1529.51,2688.14,17,312020.04,158,False,check,accepted,0.588,51,True,low,send_minimal
5172,2735.02,7671.54,7,229741.68,53,False,card,accepted,0.942,59,False,medium,send_minimal
5137,116.87,920.93,15,21036.6,60,False,check,rejected,0.676,56,False,low,send_minimal
5734,3662.81,18086.28,14,615352.08,103,False,ach,accepted,0.588,47,True,low,send_minimal
5111,155.04,1089.64,4,7441.92,31,False,check,rejected,0.291,40,False,medium,send_minimal
5211,118.5,228.06,10,14220.0,133,False,ach,rejected,0.23,58,False,low,send_minimal
5085,18187.98,31310.91,3,654767.28,158,False,card,rejected,0.634,67,False,low,send_partial
5734,1269.44,9342.68,12,182799.36,1,True,ach,never_offered,0.519,60,False,medium,send_partial
5734,411.47,1139.81,3,14812.92,106,False,card,accepted,0.487,36,False,low,send_minimal
5085,1105.28,8832.57,15,198950.4,3,True,ach,never_offered,0.957,69,False,medium,send_full
7392,717.84,2873.13,9,77526.72,85,False,card,rejected,0.929,62,False,low,send_partial
5172,12554.71,49613.44,27,4067726.04,174,False,ach,rejected,0.682,34,True,low,send_minimal
7392,21565.19,83698.75,9,2329040.52,93,False,card,rejected,0.659,42,True,low,send_minimal
5065,2493.25,18077.98,5,149595.0,104,False,check,rejected,0.848,49,False,high,send_minimal
5111,1819.85,6297.37,25,545955.0,119,False,check,accepted,0.466,45,True,low,send_minimal
5199,436.63,1850.9,1,242578.78838176583,145,False,check,accepted,0.504,58,True,medium,send_minimal
5111,118.04,453.42,10,3482876.429774959,74,False,ach,accepted,0.479,40,False,low,send_minimal
5137,390.82,1140.73,13,60967.92,139,False,ach,rejected,0.487,45,False,low,send_minimal
5734,561.05,1885.11,13,87523.8,150,False,card,accepted,,59,False,low,send_minimal
5111,310.01,1016.26,10,37201.2,0,True,ach,never_offered,0.575,39,False,low,send_minimal
7372,3525.39,23061.29,22,930702.96,0,True,card,never_offered,0.518,49,False,low,send_partial
5085,590.68,2371.29,16,113410.56,2,True,ach,never_offered,0.562,63,False,medium,send_full
5111,594.07,3426.25,9,64159.56,112,False,ach,accepted,0.76,30,False,low,send_minimal
5211,4170.47,25683.03,24,1201095.36,0,True,card,never_offered,0.483,31,False,medium,send_minimal
7392,9898.77,25150.95,14,1662993.36,5,True,ach,never_offered,0.862,30,False,medium,send_minimal
5111,2131.65,13288.46,12,306957.6,139,False,check,rejected,,68,True,low,send_minimal
5137,3036.53,6863.44,14,510137.04,109,False,check,rejected,0.803,59,True,low,send_minimal
4214,2774.5,13611.33,11,366234.0,5,True,card,never_offered,,29,False,medium,send_minimal
8911,1231.31,9496.18,24,354617.28,158,False,card,accepted,0.31,72,True,low,send_minimal
5211,2771.57,5298.68,4,133035.36,70,False,check,accepted,0.241,54,False,low,send_minimal
5172,1000.6,2312.9,17,204122.4,125,False,card,accepted,,44,True,medium,send_minimal
5169,92942.1,286764.67,2,2230610.4,97,False,card,accepted,,46,True,high,send_minimal
5734,1193.45,7417.38,10,143214.0,164,False,ach,rejected,0.238,49,False,low,send_minimal
5211,1174.77,4858.58,18,253750.32,56,False,ach,rejected,0.41,66,False,low,send_minimal
5137,465.63,2754.54,39,217914.84,162,False,check,accepted,0.268,40,True,low,send_minimal
5065,5012.57,22555.86,26,1563921.84,121,False,check,rejected,0.733,68,True,low,send_minimal
5111,420.57,1704.07,14,70655.76,179,False,card,accepted,0.7,23,False,low,send_minimal
8911,6363.64,40848.92,6,458182.08,102,False,check,accepted,0.254,31,True,low,send_minimal
5172,8375.62,35909.54,1,100507.44,3,True,card,accepted,0.576,49,False,low,send_minimal
5199,2753.76,8632.71,8,264360.96,43,False,card,rejected,0.588,56,False,high,send_partial
5199,398.01,1616.95,14,66865.68,64,False,check,rejected,0.716,22,False,low,send_minimal
7392,5942.93,38950.46,9,168795715.72904304,6,False,ach,rejected,,63,False,medium,send_minimal
5065,1984.23,13186.9,40,952430.4,46,False,check,rejected,0.748,73,True,low,send_minimal
5085,428.1,1954.75,7,35960.4,172,False,check,rejected,0.628,41,False,low,send_partial
5137,939.96,7315.16,15,169192.8,172,False,ach,rejected,0.505,54,False,medium,send_minimal
5199,545.15,2781.45,14,91585.2,160,False,ach,rejected,0.115,42,False,low,send_minimal
7372,1164.29,3970.23,2,27942.96,5,True,check,never_offered,0.94,61,False,low,send_partial
5199,1854.12,13470.7,13,289242.72,106,False,ach,rejected,0.587,49,False,medium,send_minimal
5172,4218.37,25897.34,8,404963.52,4,True,card,never_offered,0.624,41,False,low,send_minimal
8911,3947.88,29182.94,11,521120.16,4,True,card,never_offered,0.453,58,False,low,send_minimal
5111,318.37,2174.2,23,87870.12,29,False,card,accepted,0.326,27,False,low,send_minimal
5211,3631.32,15402.81,8,348606.72,148,False,ach,rejected,0.481,42,False,low,send_minimal
5211,763.59,4573.88,3,27489.24,160,False,card,accepted,0.475,29,False,high,send_minimal
5199,1649.7,7977.08,7,138574.8,3,True,card,never_offered,0.272,49,False,low,send_partial
7399,46.54,102.62,36,20105.28,42,False,ach,rejected,0.661,22,False,medium,send_minimal
5137,344.66,2114.37,25,103398.0,0,True,card,rejected,0.23,38,False,low,send_partial
8911,10125.02,46881.05,14,1701003.36,2,True,ach,accepted,0.456,61,False,medium,send_minimal
5137,395.27,2502.6,23,109094.52,135,False,card,accepted,0.511,41,False,medium,send_minimal
5211,675.77,1817.58,1,8109.24,101,False,card,rejected,0.755,74,False,medium,send_partial
5199,683.7,3352.71,7,57430.8,1,True,check,never_offered,1.0,62,False,low,send_full
7399,357.94,1778.52,18,77315.04,133,False,card,accepted,0.768,53,False,low,send_minimal
5172,6435.31,37450.36,9,695013.48,139,False,check,accepted,0.566,55,False,medium,send_minimal
