vendor_id,segment,is_mature_ap_program,mcc,avg_ticket,max_ticket,monthly_txn_count,annual_spend,tenure_months,is_new_to_platform,current_rail,accepts_card_other_channel,days_sales_outstanding,past_data_quality_score,risk_level,vc_accept
V000035,mid_market,False,8911,1457.38,11242.74,12,935034.95,130,False,ach,1,68,0.591,low,1
V000036,mid_market,False,5085,2575.2,14175.88,14,1382715.27,127,False,ach,0,37,0.445,low,0
V000037,enterprise,True,5111,196.48,1570.1,9,244111.4,32,False,ach,1,36,0.78,medium,1
V000038,smb,False,5172,8301.04,38733.57,6,448436.22,20,False,ach,0,29,0.871,low,0
V000039,enterprise,False,7372,18003.55,34518.67,14,53687911.4,179,False,ach,0,44,,medium,1
V000040,mid_market,False,5169,4988.82,9568.86,17,1833398.27,35,False,check,1,79,0.357,high,1
V000041,smb,False,5169,2922.35,21036.54,6,152956.45,156,False,check,0,66,0.782,low,1
V000042,smb,False,5065,521.8,3648.07,21,113000.13,163,False,ach,0,52,0.443,medium,1
V000043,smb,False,8911,5681.91,43999.52,15,1217032.88,84,False,check,0,57,0.832,medium,0
V000044,smb,False,5137,4216.95,19845.91,5,202717.31,5,True,check,0,50,0.347,low,1
V000045,smb,False,8911,6597.9,27948.83,15,1120290.7,84,False,other,0,59,0.659,low,1
V000046,enterprise,True,5734,260.77,860.31,14,551027.95,103,False,check,0,75,0.711,medium,1
V000047,smb,False,7392,14063.31,53700.0,7,1210707.65,95,False,check,1,42,,low,0
V000048,smb,False,5122,1921.99,13278.93,12,211688.49,27,False,ach,0,49,0.371,low,0
V000049,smb,False,5211,1594.81,5767.67,22,241455.22,114,False,check,1,73,,low,0
V000050,mid_market,False,5111,956.43,5881.87,8,264809.31,60,False,ach,0,32,0.491,low,1
V000051,smb,False,5199,223.38,1351.91,11,17683.79,85,False,ach,1,21,0.993,low,1
V000052,enterprise,False,8911,3632.89,21746.69,10,2327506.08,125,False,virtual_card,1,33,0.611,high,1
V000053,mid_market,False,5111,341.68,649.51,7,91010.31,156,False,wire,1,44,1.0,low,1
V000054,mid_market,False,5122,790.61,1812.98,4,145250.51,138,False,ach,1,69,0.694,medium,1
V000055,enterprise,False,5211,1006.12,7392.47,10,1379335.61,95,False,wire,1,36,0.647,low,0
V000056,smb,False,7392,15973.49,58399.9,19,3379173.28,159,False,ach,0,34,0.592,high,0
V000057,mid_market,False,7399,723.35,2912.73,7,302375.24,153,False,ach,1,36,0.916,low,0
V000058,smb,False,5065,1784.95,6564.99,11,251564.4,84,False,check,0,54,0.604,low,0
V000059,smb,False,7392,1731.81,12970.79,5,78690.71,113,False,check,1,39,0.617,low,1
V000060,smb,False,5137,569.34,1220.21,29,126042.14,157,False,wire,1,67,0.489,low,0
V000061,smb,False,5169,1617.7,9218.71,3,25752.58,75,False,ach,0,46,0.869,low,1
V000062,smb,False,5172,1211.67,3922.81,25,113238.95,55,False,ach,1,35,0.623,medium,0
V000063,enterprise,False,5111,154.97,312.17,13,162045.65,57,False,ach,0,67,0.116,low,1
V000064,mid_market,False,5122,1658.24,9938.52,2,62183.36,76,False,ach,0,62,0.329,high,0
V000065,mid_market,False,5199,437.13,3152.57,18,191291.26,72,False,ach,0,64,1.0,high,0
V000066,mid_market,False,5199,833.87,5013.11,5,137810.45,18,False,virtual_card,0,33,0.686,low,1
V000067,enterprise,False,5065,596.07,3883.74,12,490361.15,97,False,ach,1,45,0.341,low,1
V000068,smb,False,7372,6224.19,27208.75,10,288988.75,77,False,ach,0,60,0.759,medium,0
V000069,mid_market,False,5211,1137.61,8555.11,7,472979.17,173,False,check,1,51,0.759,low,1
V000070,smb,False,5137,2211.32,16660.6,8,135027.62,175,False,ach,0,57,,low,0
V000071,mid_market,False,7372,6762.02,29019.44,9,3020010.41,34,False,ach,0,50,0.57,low,0
V000072,smb,False,5137,524.0,1660.03,8,52338.2,124,False,check,0,57,0.362,medium,0
V000073,smb,False,5065,414.79,737.3,10,26469.02,56,False,other,0,28,0.587,medium,1
V000074,enterprise,False,5065,1259.23,2370.43,3,864810.55,140,False,wire,0,41,0.674,low,0
V000075,smb,False,7392,6143.09,34229.41,5,130123.68,14,False,check,1,53,0.211,low,0
V000076,smb,False,5734,948.02,1549.82,17,76126.6,68,False,wire,1,54,0.428,low,1
V000077,smb,False,5169,969.04,2691.76,19,146241.06,67,False,check,1,39,0.49,low,1
V000078,smb,False,5734,3066.2,23262.68,16,553872.74,155,False,check,0,55,0.607,low,0
V000079,enterprise,True,5211,872.26,5144.7,2,329067.73,119,False,ach,0,36,0.537,high,1
V000080,enterprise,False,5211,1910.07,11503.34,2,554084.17,162,False,check,0,33,,low,0
V000081,smb,False,5734,6827.2,26308.89,8,323140.88,9,False,check,1,59,0.788,low,0
V000082,smb,False,5172,812.82,4366.35,7,54315.21,98,False,check,0,46,0.852,medium,0
V000083,enterprise,False,7399,43.49,135.13,16,70391.87,14,False,check,1,58,0.786,low,0
V000084,smb,False,5211,6787.91,39399.5,9,873833.52,136,False,check,0,32,0.414,low,0
V000085,smb,False,8911,2033.92,6815.66,30,661450.78,175,False,other,0,29,0.532,low,0
V000086,smb,False,5122,4951.61,19527.65,24,1488632.48,162,False,ach,1,61,0.577,low,1
V000087,mid_market,False,5734,6854.93,40978.32,10,2307252.54,54,False,check,1,68,0.507,high,0
V000088,mid_market,False,5211,3348.21,7855.71,15,2640843.16,17,False,virtual_card,1,42,1.0,low,0
V000089,mid_market,False,5172,1740.17,12881.86,6,622588.98,97,False,ach,0,58,0.423,low,1
V000090,enterprise,True,7372,350.67,1913.44,11,618063.2,39,False,check,1,61,0.462,low,1
V000091,smb,False,7392,2340.57,10678.95,6,77218.06,78,False,check,0,67,0.292,medium,1
V000092,mid_market,False,5172,16204.31,86729.95,3,1678718.42,53,False,check,0,51,1.0,low,0
V000093,smb,False,7372,8222.1,18722.49,24,1793659.17,132,False,check,0,41,0.77,medium,0
V000094,mid_market,False,7372,5719.67,35359.76,2,363873.7,148,False,ach,1,25,0.757,low,0
V000095,smb,False,5169,2217.04,17733.62,12,335300.57,155,False,check,1,41,0.648,low,0
V000096,enterprise,False,7372,1652.5,5200.44,2,605968.93,139,False,virtual_card,1,30,0.388,low,0
V000097,mid_market,False,4214,10887.37,60677.41,11,6179531.69,101,False,other,0,51,0.688,high,1
V000098,enterprise,True,4214,11977.93,27213.22,8,6043513.72,160,False,ach,0,56,1.0,low,0
V000099,enterprise,True,5085,1263.06,5205.55,11,1481586.34,83,False,ach,0,43,0.294,low,1
V000100,smb,False,5065,1335.98,9994.8,12,219342.16,18,False,ach,0,45,0.738,high,0
V000101,smb,False,5065,6934.92,23498.58,14,582463.67,50,False,ach,0,44,0.6,low,1
V000102,mid_market,False,5169,1738.45,13067.2,6,441722.53,63,False,check,0,39,0.58,medium,0
V000103,smb,False,5111,1037.94,6224.32,34,382599.8,148,False,virtual_card,1,57,0.341,low,0
V000104,smb,False,5137,273.16,481.7,15,39001.34,39,False,wire,0,48,0.531,low,0
V000105,mid_market,False,5734,78.15,518.49,26,71408.95,24,False,ach,0,30,0.639,high,1
V000106,smb,False,5111,656.09,2103.66,10,61827.56,69,False,check,0,56,0.919,medium,0
V000107,smb,False,8911,9490.48,62188.22,24,3142101.63,83,False,check,0,54,0.418,low,0
V000108,mid_market,False,5211,10068.82,64165.21,21,4892727.93,94,False,check,1,54,0.275,low,0
V000109,smb,False,5172,1844.39,13852.03,15,139153.01,89,False,check,0,58,0.97,medium,0
V000110,smb,False,7399,205.29,821.08,21,47237.02,57,False,check,1,37,0.622,low,0
V000111,smb,False,5085,748.89,4976.73,25,262379.31,162,False,virtual_card,0,52,0.928,low,0
V000112,enterprise,False,7392,5724.92,40509.49,24,13688762.32,144,False,ach,0,41,,low,1
V000113,smb,False,7392,22144.29,160398.77,6,1688281.36,20,False,ach,0,42,0.566,high,1
V000114,enterprise,False,7392,528.59,3104.88,9,729947.87,152,False,check,1,45,1.0,high,1
V000115,smb,False,8911,6316.1,19399.76,17,1214452.73,80,False,check,1,48,0.666,high,0
V000116,smb,False,5111,181.28,1449.46,7,15379.65,150,False,ach,1,62,0.696,medium,1
V000117,enterprise,False,5085,3286.14,15785.95,5,3395594.39,166,False,check,1,41,0.603,low,0
V000118,mid_market,False,8911,18772.65,100731.34,10,5212277.84,41,False,ach,1,25,0.794,medium,0
V000119,smb,False,7372,5725.19,31538.61,6,483134.76,9,False,ach,1,48,0.331,high,0
V000120,enterprise,False,5169,1713.55,10080.5,36,10235042.1,131,False,ach,1,66,0.277,low,1
V000121,smb,False,5199,386.03,1589.43,6,26427.65,108,False,ach,0,50,0.323,low,0
V000122,smb,False,5065,879.45,2620.15,8,42133.72,47,False,ach,0,32,0.58,medium,0
V000123,smb,False,5734,3033.58,22287.64,36,1354528.19,57,False,ach,0,41,0.831,low,0
V000124,smb,False,5199,1755.44,8422.41,14,232012.54,133,False,ach,1,26,0.769,low,1
V000125,mid_market,False,5169,3174.22,23400.44,1,145379.91,160,False,ach,1,39,0.63,medium,0
V000126,enterprise,False,7399,6785.49,44978.12,9,10917881.46,177,False,check,0,56,,high,1
V000127,mid_market,False,5137,561.71,1112.09,11,341046.17,15,False,check,1,66,0.446,low,1
V000128,enterprise,False,5085,817.02,4080.12,9,1081848.19,26,False,wire,0,63,0.211,low,1
V000129,mid_market,False,7399,794.63,5498.29,6,93231.22,172,False,ach,0,51,0.251,low,1
V000130,smb,False,5169,399.01,3102.23,22,59402.27,41,False,wire,0,78,0.58,low,0
V000131,smb,False,5085,1001.71,2354.16,22,226809.1,11,False,ach,1,24,0.313,low,0
V000132,mid_market,False,5211,2011.13,9177.0,7,345304.19,45,False,check,1,40,0.611,low,0
V000133,mid_market,False,7372,492.67,2182.62,5,124056.98,21,False,ach,1,63,0.079,low,1
V000134,smb,False,5137,650.6,1693.86,9,49528.57,165,False,ach,0,26,0.974,low,1
V000135,mid_market,False,5172,682.77,3637.68,16,406412.66,177,False,check,1,59,,medium,0
V000136,smb,False,5085,1215.62,8283.68,12,163209.77,64,False,check,1,58,0.229,low,0
V000137,smb,False,5211,2776.1,17065.87,6,79637.16,34,False,ach,0,14,0.828,medium,0
V000138,smb,False,7372,1758.49,4748.23,28,575282.71,92,False,check,0,62,0.808,low,0
V000139,smb,False,8911,15850.42,48953.86,6,644948.71,83,False,ach,0,35,0.489,low,1
V000140,smb,False,5065,471.59,3131.04,7,37440.7,89,False,virtual_card,0,46,0.633,medium,0
V000141,smb,False,7372,3043.93,15150.63,3,109072.92,158,False,other,1,60,,low,0
V000142,mid_market,False,5211,2812.02,7808.88,8,543937.65,139,False,check,0,37,0.395,high,0
V000143,smb,False,7372,861.35,6340.46,11,62166.17,29,False,check,1,48,0.757,low,0
V000144,mid_market,False,5122,5252.88,39826.8,2,481093.88,89,False,check,0,24,0.579,medium,0
V000145,smb,False,5199,101.67,446.65,2,2455.92,161,False,check,0,62,0.545,medium,0
V000146,enterprise,False,5199,3094.0,18519.57,6,4246549.12,74,False,ach,1,68,0.955,low,1
V000147,mid_market,False,5734,2159.96,10323.31,12,1546413.91,62,False,check,1,61,0.717,high,1
V000148,smb,False,5169,2713.57,9697.12,16,528422.22,40,False,check,0,44,0.631,medium,0
V000149,smb,False,5172,19647.95,102239.96,23,1754226.29,40,False,ach,1,23,0.244,low,1
V000150,mid_market,False,5211,14207.31,57693.93,14,4903195.54,133,False,ach,1,33,0.417,low,1
V000151,smb,False,5172,1403.58,7824.95,13,108850.25,139,False,ach,0,64,0.154,low,0
V000152,smb,False,7399,501.42,1247.06,20,99204.11,154,False,check,0,46,0.869,medium,1
V000153,smb,False,7399,840.4,1719.75,18,146474.21,112,False,ach,1,59,0.489,low,1
V000154,smb,False,8911,5532.93,26176.85,3,221180.93,107,False,wire,0,52,0.273,high,1
V000155,smb,False,5211,3084.78,4777.97,7,301471.04,49,False,check,0,28,,high,0
V000156,mid_market,False,5085,2844.24,14665.41,6,945678.54,150,False,virtual_card,1,33,0.714,low,0
V000157,mid_market,False,7392,6177.46,45544.89,7,1096827.08,179,False,ach,1,74,,low,1
V000158,mid_market,False,5111,336.84,2156.51,28,175857.5,93,False,other,0,39,0.623,low,1
V000159,enterprise,False,5211,18897.71,148962.52,6,10115234.1,32,False,ach,1,27,0.235,low,0
V000160,mid_market,False,7399,1106.19,5797.45,16,739425.26,101,False,ach,1,46,0.18,high,1
V000161,smb,False,5199,1083.14,3643.61,7,79944.75,15,False,ach,1,44,0.73,low,1
V000162,smb,False,5085,245.0,505.61,13,24971.58,167,False,ach,1,64,0.932,low,0
V000163,enterprise,False,7392,10650.82,34188.91,7,13155675.81,63,False,ach,0,47,0.653,low,0
V000164,smb,False,7399,10508.84,83913.0,20,2622598.35,45,False,ach,0,59,0.12,low,0
V000165,mid_market,False,5137,603.73,1686.36,8,206266.28,26,False,ach,1,41,0.83,high,0
V000166,smb,False,5065,920.51,3947.0,18,91571.81,51,False,ach,1,54,0.125,medium,1
V000167,smb,False,7399,785.3,6149.2,11,121811.69,152,False,check,1,64,0.431,high,0
V000168,mid_market,False,5122,3320.98,17863.71,8,1227061.78,166,False,ach,1,51,0.527,low,1
V000169,smb,False,5734,134.74,992.68,29,55320.67,83,False,check,0,32,,low,0
V000170,mid_market,False,4214,5444.64,16811.42,13,2506925.77,82,False,virtual_card,0,48,0.452,low,1
V000171,smb,False,5122,1285.41,4448.05,1,7263.74,1,True,check,1,50,0.735,medium,0
V000172,smb,False,5734,34653.26,73674.27,5,1005898.4,176,False,check,0,62,0.589,low,1
V000173,enterprise,False,7372,376.54,815.36,15,921697.73,37,False,ach,0,62,0.321,medium,1
V000174,enterprise,False,5734,4821.41,25588.22,1,856504.16,13,False,ach,0,25,0.788,high,0
V000175,mid_market,False,7399,3104.13,9236.74,4,362528.35,91,False,ach,1,32,0.65,low,0
V000176,smb,False,5172,2600.77,16423.53,7,136542.16,61,False,check,0,63,0.98,low,0
V000177,smb,False,5122,2765.24,6067.32,39,900456.63,143,False,ach,0,40,0.148,medium,0
V000178,smb,False,5122,1421.89,6182.64,12,128107.06,154,False,check,1,77,0.622,medium,1
V000179,enterprise,True,5169,13152.84,66077.46,3,6235527.69,36,False,check,0,50,0.663,low,1
V000180,smb,False,5111,302.11,1617.06,10,19067.15,130,False,check,1,29,,medium,1
V000181,smb,False,5211,8713.75,32723.93,8,328193.05,31,False,check,1,33,0.771,medium,0
V000182,smb,False,4214,4278.01,32241.51,7,217433.98,175,False,check,0,68,0.956,low,0
V000183,smb,False,5122,2799.71,8520.82,13,382695.69,107,False,ach,0,46,0.586,low,0
V000184,smb,False,4214,8535.12,49654.17,12,724994.41,136,False,check,0,41,0.207,low,0
V000185,enterprise,False,7372,3948.81,16887.03,8,4009654.7,157,False,ach,0,33,0.661,medium,1
V000186,enterprise,False,7399,2298.48,3607.17,10,3464424.6,63,False,check,1,41,0.375,medium,1
V000187,enterprise,True,7399,549.12,2041.16,9,529475.95,108,False,virtual_card,1,47,0.705,medium,1
V000188,mid_market,False,5169,2571.11,10460.72,18,2105081.09,103,False,check,1,55,0.144,medium,0
V000189,mid_market,False,5199,665.24,5121.38,9,157076.28,67,False,ach,1,42,0.98,low,1
V000190,enterprise,False,5172,22799.84,66198.43,7,17739910.83,62,False,ach,1,52,0.158,low,0
V000191,smb,False,5065,962.12,3737.34,25,310619.64,54,False,check,1,63,0.602,low,0
V000192,enterprise,False,5065,3095.0,11536.74,14,10029455.72,141,False,virtual_card,0,50,0.293,low,0
V000193,smb,False,5137,80.28,474.27,16,16420.22,83,False,other,0,62,0.859,low,0
V000194,enterprise,False,5065,1563.85,6617.32,22,8178809.02,27,False,ach,1,70,0.662,low,0
V000195,smb,False,7372,1513.34,10205.51,15,160235.85,62,False,check,1,43,0.143,low,0
V000196,enterprise,False,7399,117.04,464.54,12,149965.84,107,False,ach,1,26,0.711,medium,0
V000197,mid_market,False,5734,793.36,2779.39,10,415169.63,57,False,wire,0,40,0.689,medium,1
V000198,smb,False,5085,7047.23,29760.42,4,255472.4,97,False,check,1,32,0.634,low,0
V000199,smb,False,5199,915.36,6605.59,5,63955.96,147,False,wire,0,49,0.65,low,0
V000200,smb,False,5122,7505.87,55301.83,18,874241.52,16,False,ach,0,67,0.846,low,0
V000201,smb,False,7392,29759.93,127410.78,12,1390953.02,47,False,other,0,17,0.411,medium,0
V000202,smb,False,5085,631.34,1132.43,11,80677.78,21,False,ach,1,55,0.585,low,0
V000203,enterprise,False,8911,4983.5,23724.24,5,5626234.12,77,False,ach,0,48,0.05,low,1
V000204,smb,False,5137,949.24,7152.57,2,13822.71,172,False,ach,0,51,0.338,medium,0
V000205,enterprise,True,5199,606.56,2164.46,13,1189522.8,173,False,check,0,49,0.254,low,0
V000206,smb,False,5085,2333.06,16633.06,4,125229.59,19,False,ach,0,34,0.674,low,1
V000207,smb,False,5137,345.02,1844.82,6,27894.73,52,False,check,0,54,0.23,medium,1
V000208,smb,False,5199,691.01,3317.97,16,108237.53,121,False,check,0,36,0.45,low,1
V000209,enterprise,False,7392,59899.19,439262.99,12,76389022.36,126,False,wire,0,50,0.633,medium,0
V000210,mid_market,False,5169,5537.03,18412.68,9,1660703.64,47,False,check,0,24,0.561,high,0
V000211,mid_market,False,5111,453.92,1531.75,8,121957.65,88,False,ach,1,63,0.746,low,1
V000212,enterprise,False,5734,4256.98,19880.63,6,3445095.34,16,False,check,1,26,0.623,low,1
V000213,smb,False,5111,455.75,1989.63,8,18937.62,39,False,check,0,47,0.335,low,1
V000214,smb,False,5199,114.56,429.74,31,22256.61,128,False,other,0,54,0.883,medium,1
V000215,mid_market,False,7372,22399.47,46248.26,8,7612635.9,121,False,check,0,50,0.816,low,0
V000216,smb,False,5172,4804.33,29021.09,27,1200207.85,27,False,ach,0,58,0.542,medium,1
V000217,smb,False,5122,17299.34,35535.41,11,2333259.56,156,False,virtual_card,1,53,0.534,low,1
V000218,enterprise,True,5734,981.15,2342.17,14,1187155.06,43,False,wire,1,58,0.714,low,0
V000219,smb,False,7392,1245.99,7237.37,4,21846.29,161,False,virtual_card,0,32,0.773,low,0
V000220,smb,False,7372,3340.61,8578.86,14,430430.18,75,False,ach,0,33,0.317,medium,0
V000221,enterprise,False,5137,117.25,525.63,41,896518.01,108,False,ach,0,45,0.783,low,0
V000222,smb,False,5065,1046.17,2475.49,4,58465.71,74,False,ach,0,58,0.44,medium,1
V000223,smb,False,5199,7843.13,54151.7,14,1244805.68,70,False,ach,0,47,0.779,low,0
V000224,smb,False,5211,940.14,3035.82,23,243914.85,179,False,check,0,23,0.714,high,1
V000225,enterprise,False,5169,1871.57,8669.58,8,2364337.89,3,True,virtual_card,1,49,0.412,low,0
V000226,smb,False,5199,2691.7,12091.39,5,54287.68,81,False,other,1,85,0.827,low,1
V000227,smb,False,5111,495.85,2438.9,5,31068.24,67,False,other,1,53,,medium,1
V000228,smb,False,7399,414.77,3280.71,5,20391.59,148,False,check,1,33,0.801,low,1
V000229,smb,False,5122,5293.83,32312.59,16,1002523.36,23,False,check,0,41,0.709,medium,0
V000230,mid_market,False,5137,703.55,1737.19,9,229441.93,65,False,ach,0,47,0.581,low,1
V000231,smb,False,5734,27627.48,81471.09,6,2331721.35,35,False,ach,1,39,0.835,medium,1
V000232,smb,False,5199,337.9,2461.11,2,2919.77,46,False,other,0,35,0.873,medium,0
V000233,smb,False,5122,3089.86,23646.92,20,440812.16,38,False,ach,1,38,0.124,low,0
V000234,enterprise,False,5085,8794.31,63515.07,5,8425489.18,156,False,ach,1,64,0.48,medium,1
V000235,enterprise,False,7372,18763.94,134313.15,3,9776928.24,23,False,check,0,77,0.688,medium,0
V000236,smb,False,5085,4593.98,9836.15,13,314478.04,117,False,check,0,47,0.866,medium,1
V000237,mid_market,False,5199,1249.09,6201.37,17,557204.24,157,False,check,0,64,0.804,medium,0
V000238,smb,False,7399,375.7,2845.8,8,41045.7,73,False,ach,1,43,0.703,low,0
V000239,smb,False,5137,1441.89,10090.31,5,38325.28,58,False,ach,0,58,0.916,low,1
V000240,mid_market,False,5111,152.82,737.24,6,33694.31,127,False,ach,1,30,0.559,low,1
V000241,mid_market,False,7399,492.09,3640.93,6,148220.7,99,False,virtual_card,0,40,0.681,low,1
V000242,mid_market,False,4214,2652.3,20241.13,2,183757.73,111,False,ach,0,75,,low,0
V000243,smb,False,5122,5924.78,32919.65,13,799807.26,133,False,ach,0,65,0.284,low,1
V000244,enterprise,True,5199,281.78,743.88,9,565496.09,37,False,check,1,43,0.489,medium,1
V000245,mid_market,False,8911,6230.53,35295.16,16,2640557.02,58,False,ach,0,42,0.413,medium,0
V000246,enterprise,False,5065,683.79,1552.3,6,888476.7,142,False,wire,0,42,0.494,high,1
V000247,smb,False,5211,489.61,2200.0,24,83528.86,50,False,ach,1,49,0.727,low,1
V000248,smb,False,5122,1784.48,7071.41,4,75886.31,19,False,ach,0,63,0.948,low,0
V000249,mid_market,False,7392,5115.76,24537.99,29,7279089.49,132,False,ach,1,50,,low,1
V000250,mid_market,False,5734,88920.74,310055.44,8,36891572.95,108,False,wire,0,66,0.546,low,1
V000251,smb,False,8911,16164.42,44743.2,5,805304.68,95,False,ach,1,15,,low,0
V000252,mid_market,False,7399,655.52,3789.61,11,147626.01,51,False,virtual_card,0,63,,medium,1
V000253,mid_market,False,5199,658.64,5153.65,13,331206.13,93,False,check,1,79,0.222,medium,1
V000254,mid_market,False,5122,3826.41,28966.89,20,4054598.0,46,False,ach,0,69,0.861,low,0
V000255,mid_market,False,7372,1972.54,14236.95,8,462216.17,162,False,ach,1,31,0.453,high,1
V000256,enterprise,True,7372,910.08,4728.16,2,311547.36,106,False,virtual_card,0,39,0.809,low,1
V000257,smb,False,5085,5611.77,32772.97,10,613544.37,51,False,check,0,54,0.587,medium,1
V000258,smb,False,5085,3346.37,19794.46,14,409346.12,14,False,check,0,59,0.836,medium,0
V000259,mid_market,False,7392,4077.93,23136.49,9,1697736.48,133,False,check,0,54,0.666,low,0
V000260,enterprise,True,5137,594.36,2804.87,12,1255230.19,79,False,ach,1,65,0.385,low,1
V000261,smb,False,5085,2285.97,13299.93,10,288092.47,30,False,virtual_card,0,36,0.832,medium,1
V000262,enterprise,False,5211,1431.94,3219.57,4,1306408.18,55,False,virtual_card,0,40,0.697,low,0
V000263,enterprise,False,5137,509.1,3889.49,14,981830.52,127,False,check,1,37,1.0,low,0
V000264,enterprise,False,5085,1086.64,3034.44,8,1655205.49,142,False,ach,0,57,0.174,medium,0
V000265,enterprise,False,7399,3418.38,18275.13,6,2441936.11,73,False,ach,1,33,,medium,1
V000266,smb,False,5111,178.34,405.34,16,34998.75,78,False,ach,0,35,0.085,low,1
V000267,mid_market,False,7372,454.48,3035.54,23,383942.13,159,False,ach,0,51,0.476,medium,1
V000268,mid_market,False,5111,833.13,4408.72,2,69316.77,4,True,check,1,58,,medium,1
V000269,smb,False,5169,3998.06,24937.17,9,151660.99,82,False,ach,1,59,0.292,low,1
V000270,smb,False,7399,1030.3,2117.32,4,23640.06,71,False,wire,1,34,0.311,low,1
V000271,enterprise,False,5085,442.56,3197.07,9,719833.53,112,False,ach,1,32,0.475,medium,0
V000272,mid_market,False,5172,16785.34,61417.43,9,2893024.0,176,False,ach,1,57,0.953,low,1
V000273,smb,False,5085,4057.32,30089.67,14,208882.8,44,False,check,1,37,0.175,low,0
V000274,mid_market,False,5734,440.64,1165.45,5,54451.54,52,False,check,1,41,0.776,high,1
V000275,smb,False,7392,5268.81,22120.13,3,103169.18,143,False,other,0,63,,low,0
V000276,enterprise,False,7372,1007.9,2112.28,4,367482.81,76,False,ach,1,40,0.717,medium,1
V000277,smb,False,5137,142.36,264.18,8,9103.65,100,False,ach,0,43,0.948,low,1
V000278,smb,False,5199,268.61,2012.87,8,23711.41,149,False,check,0,76,,medium,0
V000279,smb,False,5122,679.39,4503.81,10,50559.53,45,False,ach,1,40,,low,1
V000280,smb,False,5085,1001.05,6952.2,10,126418.43,112,False,other,0,69,0.602,low,0
V000281,mid_market,False,5065,899.9,2408.14,15,279079.27,108,False,check,0,36,0.922,low,1
V000282,enterprise,False,4214,3351.68,15907.22,12,7370690.52,52,False,ach,0,45,0.753,low,0
