vendor_id,segment,mcc,annual_spend,current_rail,accepts_card_other_channel,p_accept,expected_annual_revenue
V003795,enterprise,8911,85288150.44,check,1,0.7318723,499160.2923677745
V024920,enterprise,8911,69051364.25,ach,0,0.8674568,478992.600310334
V012231,enterprise,7372,81796424.13,check,1,0.7190989,470357.7656722327
V001606,enterprise,8911,65412215.65,check,1,0.8896341,465343.48654650396
V005916,enterprise,5085,66781747.41,ach,1,0.86614203,462539.8285696694
V017695,enterprise,7392,77200579.48,check,1,0.74260664,458437.30338437395
V005292,enterprise,5122,66661511.71,ach,1,0.8429048,449314.4688377805
V011137,enterprise,7372,66364567.78,ach,1,0.8251188,437869.2096871495
V011741,enterprise,8911,56358833.25,ach,0,0.95276964,429375.88082739426
V010971,enterprise,8911,85042858.74,ach,1,0.63065386,428860.8558035773
V001219,enterprise,8911,60110217.93,ach,0,0.87249285,419365.8827636518
V001793,enterprise,8911,65327203.33,ach,1,0.7761491,405429.19747981924
V009983,enterprise,7399,58128336.84,ach,1,0.87192804,405269.81271379517
V024569,enterprise,7392,54104360.08,ach,1,0.9152547,395954.1640690775
V022395,enterprise,8911,69668474.44,ach,1,0.696882,388205.6517358425
V004739,enterprise,8911,63480718.64,ach,1,0.75838137,384940.75330551236
V003215,enterprise,7392,60475559.43,ach,1,0.792534,383231.4931005607
V012676,enterprise,7392,75616673.54,ach,1,0.62748045,379383.8730850971
V000039,enterprise,7372,53687911.4,ach,0,0.8753421,375762.3004445334
V011013,enterprise,4214,50938550.09,ach,0,0.91397554,372252.70930805535
V002627,enterprise,5211,68120176.6,ach,0,0.6804457,370616.63424624177
V001675,enterprise,7392,54698881.17,check,0,0.84667706,370298.3052967235
V001738,enterprise,4214,55115769.42,ach,0,0.8386223,369570.49419867364
V008914,enterprise,5172,71885550.14,ach,1,0.6406181,368209.46825413243
V008990,enterprise,8911,48595854.95,ach,1,0.93101394,361747.34776345204
V008393,enterprise,4214,64099629.97,ach,0,0.70133215,359441.0513776007
V004164,enterprise,5211,98214243.44,ach,0,0.45363754,356229.3425641375
V011286,enterprise,7372,53499046.22,ach,1,0.8310262,355472.87116402783
V009233,enterprise,4214,127387360.37,ach,0,0.34133968,347658.88412380696
V006840,enterprise,7392,50392102.24,ach,1,0.8616548,347164.7814973443
V002507,enterprise,7372,85120750.49,ach,0,0.5065341,344732.5016394299
V002697,enterprise,7392,45808929.1,ach,1,0.93981695,344216.0648781773
V016124,enterprise,7372,67999892.08,ach,1,0.62583536,340253.8950272951
V005655,enterprise,8911,84517905.1,ach,1,0.5012054,338686.63313862705
V012893,enterprise,7399,55984265.59,check,0,0.7394353,330973.9445518651
V019638,enterprise,5085,47565975.59,ach,1,0.86761403,329951.2624990594
V003936,enterprise,5172,48629824.04,ach,0,0.8454333,328706.1788989871
V023001,enterprise,8911,44486289.83,ach,0,0.89715296,319088.0529101448
V002669,enterprise,5734,55637802.99,check,0,0.7171167,318990.3874230164
V005264,enterprise,5172,63272229.22,check,0,0.6209288,314100.4070250957
V004425,enterprise,5734,58665543.04,ach,1,0.66207856,310529.5857781021
V000625,enterprise,7392,53397327.49,check,1,0.7271683,310430.76007468766
V018887,enterprise,5065,42902766.59,ach,1,0.88638335,304026.3853952344
V022748,enterprise,7372,49096017.73,ach,1,0.7731516,303469.3080700391
V004753,enterprise,4214,50688853.63,ach,1,0.7449551,301887.36931075144
V018635,enterprise,8911,62145660.65,ach,1,0.5947675,295497.75917979854
V002464,enterprise,7372,41867793.84,ach,1,0.8826219,295427.448739768
V007453,enterprise,7392,67507546.72,ach,1,0.546646,295021.8425099232
V001014,enterprise,4214,56165803.37,ach,1,0.64968467,291720.49033768795
V020917,enterprise,5172,52876687.45,ach,1,0.68618184,290064.1828881867
V007332,enterprise,4214,43384345.16,ach,0,0.8323642,288692.60654949694
V003466,enterprise,8911,41680243.07,check,1,0.86112446,286935.01309307193
V010347,enterprise,8911,41999914.58,ach,1,0.8523125,286176.41932611656
V007516,enterprise,7372,39481983.39,ach,1,0.9009557,284372.13660577766
V014426,enterprise,5172,46591644.79,ach,0,0.7626129,284051.10706815514
V007071,enterprise,4214,39441058.22,ach,1,0.90003866,283787.8173796299
V017544,enterprise,7392,39967225.6,ach,1,0.8873985,283534.8424157837
V024896,enterprise,7392,40685085.76,ach,0,0.86959505,282836.39374998654
V006244,enterprise,5122,41476740.94,ach,1,0.84744835,280995.1650517056
V007676,enterprise,5211,44468587.65,ach,1,0.7851853,279128.6426584701
V020413,enterprise,5172,51183928.83,check,0,0.67383206,275714.9771715639
V001787,enterprise,4214,54704945.7,ach,0,0.6253812,273491.54431866814
V015299,enterprise,7392,36754025.22,ach,1,0.9238428,271439.5289600573
V017998,enterprise,5085,47260841.44,check,1,0.7129079,269341.02169784467
V016287,enterprise,8911,38272315.72,check,0,0.87591434,267986.15985915705
V011199,enterprise,5065,41880320.47,ach,1,0.7912309,264896.0349501259
V005730,enterprise,8911,38574473.36,ach,1,0.85305935,263050.5218142791
V000424,enterprise,7372,36468174.91,ach,1,0.8973375,261594.0861413196
V019283,enterprise,7392,36843684.11,ach,0,0.86813664,255682.81831392515
V009735,enterprise,8911,43046313.82,ach,0,0.735255,253000.14076645483
V005645,enterprise,5122,36804659.26,ach,0,0.8468411,249141.58414369074
V012218,enterprise,5211,38868165.93,ach,0,0.79646724,247457.76817518368
V006947,enterprise,5211,39623914.54,ach,1,0.7796188,246932.38954042044
V004050,enterprise,7392,39551698.37,ach,0,0.7797108,246511.10027706882
V020935,enterprise,7392,34694863.99,ach,1,0.8876185,246166.42009533424
V004745,enterprise,5085,40904857.9,ach,1,0.75210637,245918.43304707189
V006121,enterprise,5211,46780540.86,ach,0,0.65545034,245098.57282561468
V008665,enterprise,4214,64511329.29,ach,0,0.47137615,243072.81669368056
V023490,enterprise,5085,33188110.68,ach,1,0.905701,240268.0353671102
V011127,enterprise,8911,32475092.45,ach,0,0.9252343,240176.56006242617
V006026,enterprise,7392,34338167.53,check,0,0.8710734,239088.5215381375
V010067,enterprise,5169,43832234.49,ach,0,0.67331624,235903.64264977947
V009874,enterprise,5172,46055442.83,ach,1,0.63970435,235494.9357244378
V022954,enterprise,7372,33166018.63,ach,1,0.8875576,235294.02201204203
V003039,enterprise,8911,49173583.17,check,1,0.5960447,234277.23658852009
V007422,enterprise,4214,35282380.63,ach,0,0.8236003,232268.63197267705
V007850,enterprise,5211,41007588.6,ach,1,0.7057223,231319.74889820718
V015974,enterprise,5172,60348444.37,ach,0,0.47934487,231221.74000060884
V018545,enterprise,8911,44545439.61,ach,0,0.6444836,229470.4514933157
V019577,enterprise,7372,50162019.32,ach,1,0.5706391,228795.26597717294
V002880,enterprise,7399,32951451.71,ach,1,0.858713,226166.71202874195
V024299,enterprise,7372,50959711.97,ach,0,0.5459553,222373.798826948
V018103,enterprise,5172,34718945.28,ach,1,0.7986069,221614.30646875
V016268,enterprise,7392,35098617.83,ach,0,0.7889902,221339.7238894281
V013090,enterprise,8911,31868277.65,ach,1,0.8651306,220361.77815923927
V018138,enterprise,4214,32359399.37,ach,1,0.84425557,218356.82439885975
V012357,enterprise,8911,48032781.11,check,0,0.56774074,217961.3329152541
V018528,enterprise,5211,35517237.18,ach,1,0.7528628,213716.85620347192
V011878,enterprise,7392,31472600.47,ach,1,0.84504646,212566.47707158932
V013903,enterprise,7372,31150548.17,ach,1,0.8448697,210345.22763209505
V002126,enterprise,8911,36257716.3,ach,1,0.725785,210322.45793334368
V010477,enterprise,5734,37677053.19,check,0,0.6915764,208252.49287035424
V001985,enterprise,4214,43729958.37,ach,0,0.58877313,205776.1961936676
V002352,enterprise,5169,32736464.47,ach,1,0.7806605,204248.5204065207
V020343,enterprise,5172,31433933.97,ach,0,0.8075923,202886.4174125793
V022286,enterprise,8911,72994284.43,ach,0,0.34709653,202488.50419238038
V003856,enterprise,7392,29700725.09,ach,0,0.8477068,201220.05173969
V010308,enterprise,4214,37567475.88,check,1,0.6686045,200742.26535472553
V000632,enterprise,4214,53317779.65,ach,0,0.46819434,199504.65939345403
V010206,enterprise,5734,38685724.21,ach,1,0.6397106,197781.3443586589
V009629,enterprise,5085,34665872.74,ach,1,0.7110438,196991.62415639302
V000479,enterprise,7392,30296327.06,ach,1,0.80205643,194194.91181992265
V009290,enterprise,7392,58178203.51,ach,0,0.41383046,192407.30135357843
V024588,enterprise,5169,32808410.52,ach,1,0.72866297,191050.19019543013
V000435,enterprise,4214,62831746.65,check,0,0.37967688,190646.09148622258
V017911,enterprise,7372,29501875.04,check,1,0.8072252,190317.26229272826
V006452,enterprise,8911,46697358.08,ach,0,0.509666,190200.45520364196
V019118,enterprise,8911,28574551.97,ach,1,0.8294572,189410.94829899623
V002557,enterprise,7392,28206578.07,ach,1,0.8398159,189306.66528371722
V021620,enterprise,5211,32238018.91,ach,1,0.7330654,188860.61661541523
V007832,enterprise,8911,33472665.35,ach,0,0.70485586,188547.2343812307
V011414,enterprise,5211,29116230.79,ach,0,0.8052339,187363.00759537725
V021605,enterprise,5085,59145862.22,check,0,0.39200118,185281.9831299107
V010199,enterprise,5172,34918963.74,check,1,0.6634957,185148.6637481619
V001529,enterprise,7372,28223012.0,ach,1,0.81550944,183929.06135451127
V023749,enterprise,8911,30334380.45,ach,0,0.7586026,183893.92368243122
V017186,enterprise,7399,30048413.14,ach,1,0.76482964,183655.33498263152
V016752,enterprise,8911,28778237.14,ach,0,0.79217,182178.0461946087
V023659,enterprise,5172,29101337.98,ach,0,0.7816724,181781.70583425535
V004229,enterprise,5734,25554846.85,ach,0,0.8896781,181684.70494450844
V018881,enterprise,7392,27226036.86,ach,0,0.83164215,180938.55883327025
V011940,enterprise,4214,40218876.24,check,1,0.5625859,180812.57836855412
V005070,enterprise,7372,29035555.35,ach,1,0.7720239,179129.14521312917
V014217,enterprise,7372,28521593.09,ach,1,0.7754528,176737.19209848475
V001748,enterprise,8911,35166126.81,ach,0,0.6287158,176676.00010427847
V003790,enterprise,8911,33785286.87,check,1,0.65394026,176548.4743504383
V007012,enterprise,7399,25896096.72,ach,1,0.85301834,176518.76420704107
V024316,enterprise,5065,30267030.46,ach,1,0.7183429,173736.85154707206
V006334,enterprise,7399,28491814.53,ach,1,0.7598737,173001.44152815317
V002376,enterprise,5211,30934739.94,check,0,0.6998373,172994.28568925892
V021701,enterprise,7372,30042440.02,check,1,0.7183958,172458.90887505226
V018972,enterprise,8911,26308430.63,ach,1,0.8150326,171337.82923180872
V019882,enterprise,7372,31601443.16,ach,1,0.6737636,170135.2100864083
V007718,enterprise,8911,26478324.92,ach,0,0.8032501,169949.7316929798
V020967,enterprise,5122,24472815.6,ach,1,0.86902726,169940.35048875085
V006416,enterprise,8911,30392860.03,check,0,0.6990417,169767.0182311436
V014139,enterprise,8911,47368978.16,check,1,0.4446529,168302.02246202517
V011839,enterprise,4214,23790257.29,ach,1,0.8794071,167170.57086345286
V014894,enterprise,8911,25475389.11,check,1,0.81715363,166338.4540334029
V009172,enterprise,7372,27053725.71,ach,1,0.765576,165493.46599152382
V001428,enterprise,4214,24836305.06,ach,0,0.8285739,164429.70970000493
V020630,enterprise,8911,28497812.8,check,1,0.7201174,163974.16462947463
V008586,enterprise,4214,25377021.39,ach,0,0.8056696,163363.95854346335
V018229,enterprise,4214,29891682.16,check,1,0.6832464,163187.0676197908
V023224,enterprise,4214,32320383.29,ach,0,0.6291804,162482.80619096497
V019812,enterprise,7392,26037479.38,ach,0,0.78006953,162288.35442085986
V024736,enterprise,7372,30460171.88,ach,0,0.6653958,161944.56258797136
V014969,enterprise,7372,43505618.16,check,1,0.4627007,160840.63800248323
V001116,enterprise,8911,24828876.24,check,1,0.80787474,160268.97533020846
V009109,enterprise,5172,24903807.95,ach,0,0.8021901,159620.71049681192
V002094,enterprise,5172,33302488.42,ach,1,0.5967732,158792.2625738645
V015175,enterprise,5211,40550827.05,check,0,0.48983738,158706.48646870034
V019411,enterprise,4214,22795391.96,ach,0,0.86769205,158035.04364769257
V020542,enterprise,5065,30398353.95,ach,1,0.6497935,157821.22383781325
V008462,enterprise,4214,59967918.14,check,0,0.32910264,157684.7991867388
V006165,enterprise,5172,22221569.05,ach,1,0.8847292,157080.5692333611
V007491,enterprise,5172,26862756.91,ach,1,0.7225436,155076.10407227787
V001008,enterprise,7372,30425889.32,ach,1,0.636262,154670.69742853672
V016381,enterprise,8911,22705463.86,ach,1,0.85074186,154331.90904182853
V005350,enterprise,7392,26624574.96,check,0,0.7239092,153990.19791472805
V024923,enterprise,7372,23529907.14,ach,1,0.8169992,153591.32191208843
V003397,enterprise,7372,24113178.43,ach,1,0.79261476,152699.68869007382
V008166,enterprise,8911,24156292.37,check,0,0.78934294,152340.79068240427
V021015,enterprise,4214,38215767.19,ach,0,0.49858394,152230.1430164123
V004052,enterprise,5172,25279930.62,ach,0,0.752865,152059.00305875635
V021687,enterprise,4214,22666515.12,ach,0,0.8377052,151702.85973951258
V018963,enterprise,7392,34995732.36,ach,0,0.5381324,150458.70771058038
V016652,enterprise,5169,27600876.9,ach,1,0.67839026,149593.32944743635
V000358,enterprise,8911,26188376.87,ach,1,0.7140639,149401.39258199095
V010237,enterprise,4214,23731583.65,ach,0,0.78692484,149199.78114768467
V010606,enterprise,5211,26822033.87,ach,0,0.69593626,149131.4080561726
V006931,enterprise,8911,26679952.73,ach,1,0.6990664,149008.4681697365
V001453,enterprise,7372,24285044.54,ach,0,0.76689154,148791.96147452577
V017024,enterprise,5122,32534781.25,check,1,0.5721926,148729.2910141796
V002576,enterprise,7372,33008538.32,check,1,0.5629499,148457.22567755234
V007592,enterprise,5172,47769646.8,check,0,0.38745764,147869.71651189393
V024311,enterprise,5122,33358990.99,ach,1,0.5531291,147414.62315631215
V015865,enterprise,7392,21093832.42,ach,1,0.8671691,146135.35439191002
V019661,enterprise,5172,25164251.31,ach,1,0.72596806,145947.54221829755
V004586,enterprise,8911,26703972.51,ach,0,0.68300056,145710.62640584397
V014848,enterprise,5065,21413283.15,ach,1,0.848153,145093.92191041226
V014115,enterprise,5169,36986323.76,check,1,0.48947495,144631.03244202686
V012022,enterprise,5122,27565295.76,ach,1,0.6518354,143544.28072992904
V010977,enterprise,4214,25713118.29,ach,0,0.6963078,143033.9541694254
V014776,enterprise,5085,25637381.67,ach,1,0.69729036,142813.59294329977
V009470,enterprise,7392,25116357.15,check,1,0.71058357,142578.16535398486
V010638,enterprise,7392,20638972.12,ach,1,0.86434513,142513.56086664993
V000604,enterprise,7372,31497045.77,ach,1,0.5627222,141592.69665457832
V011759,enterprise,4214,24985543.55,ach,1,0.70835245,141388.56721741016
V018540,enterprise,5211,27379374.74,ach,0,0.64553565,141194.89928829638
V012910,enterprise,7392,19927786.91,ach,1,0.88659567,141143.11612415046
V013441,enterprise,5734,27893890.1,ach,1,0.63152325,140725.12139096268
V013592,enterprise,5085,27249456.96,check,1,0.6462457,140678.759026308
V020886,enterprise,4214,19588085.03,ach,0,0.8988002,140646.1970417051
V010514,enterprise,7372,20671575.58,check,1,0.84934807,140258.9022903555
V008975,enterprise,5085,22964566.15,check,0,0.76334417,140038.94125183034
V011967,enterprise,7372,20831279.44,ach,0,0.8312648,138330.47367839195
V017311,enterprise,8911,20328706.37,check,1,0.85174465,138318.9354283755
V019237,enterprise,5172,20358852.5,ach,1,0.84491336,137411.73233515501
V012184,enterprise,7372,22285105.37,ach,0,0.7717351,137385.57920218917
V014439,enterprise,8911,25046788.47,ach,1,0.6858753,137231.78776444943
V007434,enterprise,7372,25365253.43,ach,1,0.6752988,136833.00365407212
V000308,enterprise,5169,22676928.45,ach,0,0.7543498,136650.69656423116
V010887,enterprise,5065,20786120.52,check,0,0.8227479,136613.89375784772
V009776,enterprise,4214,29665219.85,ach,0,0.57597727,136491.93775673187
V005776,enterprise,8911,29479305.29,ach,1,0.57783943,136074.44070253408
V018861,enterprise,8911,44382776.77,ach,0,0.3806316,134947.89720175203
V024298,enterprise,8911,20602045.33,ach,0,0.8177309,134575.43315387337
V023979,enterprise,5085,19301498.19,check,0,0.8699568,134131.75547682287
V024775,enterprise,5065,18839730.96,ach,0,0.8912719,134130.58083938053
V004624,enterprise,5734,42788824.95,ach,1,0.39077088,133565.0150496412
V018030,enterprise,7372,21175179.71,check,1,0.787737,133243.78233121402
V024362,enterprise,5169,40674216.34,ach,0,0.409995,133209.7992533719
V003911,enterprise,4214,19982304.38,ach,0,0.8336473,133065.55446920908
V017060,enterprise,5085,23397853.04,ach,1,0.71191007,133057.33737516965
V023973,enterprise,5122,27419236.12,ach,0,0.6068194,132908.19336716118
V020832,enterprise,7392,33870205.49,check,1,0.48976982,132508.83459376683
V019659,enterprise,5085,26706488.82,ach,0,0.62029797,132327.84606249802
V022473,enterprise,7372,21292454.1,check,0,0.774264,131687.84170354623
V020574,enterprise,5169,30473423.18,check,1,0.53954345,131333.88697720415
V018398,enterprise,5211,21061125.62,check,1,0.7804631,131299.451039328
V002545,enterprise,4214,23223478.74,ach,1,0.7066627,131089.33220886727
V019506,enterprise,7392,21521915.31,ach,1,0.7624243,131070.6480283621
V021574,enterprise,5211,18425394.71,ach,1,0.88616586,130423.6455964447
V011165,enterprise,5172,18409023.18,ach,0,0.8862627,130321.8468918356
V013477,enterprise,5172,22948872.15,ach,0,0.70731044,129655.81452484368
V024253,enterprise,5211,22351360.88,ach,1,0.726133,129640.48385953483
V011812,enterprise,5211,19109300.37,ach,1,0.8467297,129243.2967134637
V022518,enterprise,5065,30259369.16,ach,0,0.5345887,129210.53326264172
V020954,enterprise,7392,18737338.91,ach,0,0.860192,128741.6723831685
V003276,enterprise,5211,33943900.25,check,1,0.47458076,128672.97711951066
V013243,enterprise,4214,32266520.66,check,0,0.49856445,128495.5215090778
V021684,enterprise,8911,27997801.6,ach,0,0.57346594,128246.28564713441
V007877,enterprise,7392,17918317.47,ach,1,0.8914649,127588.40716278243
V017350,enterprise,5211,20398663.97,ach,1,0.7819022,127398.08090626894
V014362,enterprise,8911,22061950.54,ach,1,0.72058296,126979.72534726288
V007885,enterprise,5172,19040875.82,check,1,0.82894313,126070.4261123102
V018094,enterprise,5169,28294238.94,ach,0,0.5577475,126048.32447486067
V024036,enterprise,7372,33213601.27,check,1,0.47471708,125936.51064702385
V008811,enterprise,5172,49586768.62,ach,1,0.3171652,125617.5774839136
V002445,enterprise,5172,20952299.16,ach,0,0.7501698,125542.25884831464
V012800,enterprise,5122,31855795.93,ach,0,0.4909329,124912.46918678087
V018467,enterprise,5172,18966180.01,ach,1,0.8236411,124770.60617498592
V013328,enterprise,5734,19528590.03,ach,1,0.79779387,124438.31457612172
V004646,enterprise,8911,21037477.5,ach,0,0.73678315,123800.47099527121
V018588,enterprise,5122,18737701.82,ach,0,0.82673246,123728.53006610375
V001322,enterprise,7392,17405720.3,ach,1,0.8890366,123594.57858664881
V011678,enterprise,8911,26549410.8,ach,1,0.5805561,123107.37799369908
V006896,enterprise,5065,17880815.38,ach,1,0.85563207,122195.1921467815
V022508,enterprise,7372,16849027.74,ach,1,0.90673673,122021.05873930421
V018114,enterprise,8911,25312731.11,ach,0,0.60051316,121405.02522308935
V021303,enterprise,5085,20608120.41,ach,0,0.737464,121381.9770469299
V017725,enterprise,5085,19920673.29,ach,0,0.7541945,119992.49754409044
V022424,enterprise,5172,25028341.18,ach,0,0.599846,119905.20383685126
V005296,enterprise,7392,25038349.72,ach,1,0.59938335,119860.56030784821
V013331,enterprise,7392,20765620.55,ach,1,0.72092134,119563.03154475172
V005851,enterprise,7392,16354315.21,ach,0,0.914886,119498.67191025753
V013353,enterprise,5172,25615672.45,check,1,0.581798,119025.17948937413
V012318,enterprise,8911,21180430.06,ach,1,0.69707614,117914.97974892131
V000571,enterprise,4214,17670682.07,ach,0,0.8350479,117846.92772863508
V023733,enterprise,5199,18667725.53,check,0,0.7885926,117569.83825655254
V012126,enterprise,4214,32932673.09,ach,0,0.44656226,117451.91148586557
V024815,enterprise,8911,25003317.39,ach,0,0.5878188,117379.36047431781
V009520,enterprise,5122,22790801.71,ach,0,0.6440517,117227.63140317143
V008255,enterprise,7372,20503970.89,ach,1,0.71364284,116860.09541879492
V005857,enterprise,8911,16395377.72,ach,1,0.8924746,116859.66429559475
V006850,enterprise,7372,20737740.84,ach,1,0.7043854,116658.89498331348
V003939,enterprise,4214,17403832.56,check,0,0.83913165,116632.85431986811
V005175,enterprise,5085,17141783.26,ach,1,0.8476486,116041.67148045535
V002195,enterprise,7392,16855157.65,ach,0,0.85661554,115307.12023092441
V018269,enterprise,7372,21297741.24,ach,0,0.6753879,114873.89707520482
V016387,enterprise,7372,21242246.06,ach,0,0.6741329,114360.7727158367
V021221,enterprise,7372,19105497.02,ach,0,0.7467913,113942.55213634709
V003769,enterprise,5172,20637593.45,check,0,0.68922377,113591.3590842596
V010478,enterprise,8911,19050593.67,ach,1,0.7457247,113451.98264818445
V019859,enterprise,8911,16393714.24,check,1,0.8642292,113143.41263908692
V017272,enterprise,7392,16627744.6,ach,0,0.85129637,113041.10832375611
V015006,enterprise,7392,17017839.23,check,0,0.83094686,112927.3609444853
V016169,enterprise,5211,21751177.84,check,0,0.6488459,112705.30241186693
V010935,enterprise,5734,18429798.95,ach,0,0.7657455,112700.28793095022
V009734,enterprise,8911,20935527.36,ach,1,0.67403996,112691.05617901946
V001034,enterprise,5065,17048094.84,ach,1,0.8270008,112590.304132119
V014370,enterprise,5065,15795232.99,ach,1,0.8919928,112513.87374481985
V003517,enterprise,7372,15760735.74,ach,0,0.89211726,112283.39530949619
V023765,enterprise,5172,23979695.35,check,1,0.58538234,112098.321860385
V015475,enterprise,5085,21541587.99,ach,0,0.6503057,111868.93765328826
V023806,enterprise,5172,26835994.78,ach,1,0.5207426,111597.16453117876
V015306,enterprise,8911,17371376.17,ach,1,0.8028195,111368.63491931865
V012208,enterprise,5065,24002439.23,ach,1,0.580524,111271.94150371825
V005652,enterprise,5211,18592407.89,ach,1,0.74875975,111169.9729559901
V007686,enterprise,5172,22390650.43,ach,0,0.62127227,111085.52102295597
V005531,enterprise,7392,19162988.35,ach,0,0.7245556,110877.2059537397
V004232,enterprise,7372,21032618.47,ach,0,0.659641,110791.82446021165
V000821,enterprise,5172,21668285.5,ach,1,0.6395798,110668.77696231079
V009644,enterprise,5734,17844081.18,ach,1,0.77030015,109762.38726476696
V023039,enterprise,5734,15451140.27,ach,1,0.8891861,109711.51131356148
V019743,enterprise,5169,17024756.88,ach,0,0.7966158,108297.51976843624
V010363,enterprise,5211,15168481.57,ach,0,0.89345765,108219.16731893504
V018211,enterprise,8911,20738372.21,ach,1,0.6530652,108148.07432653493
V014764,enterprise,8911,17208027.87,ach,0,0.7816464,107404.74027776695
V024097,enterprise,7392,16197852.8,ach,1,0.8301668,107375.35917229005
V012659,enterprise,5169,15484498.09,ach,0,0.86604464,107082.13265850431
V013428,enterprise,4214,25160665.36,ach,1,0.5303752,106556.73988294307
V004219,enterprise,5122,19067925.06,ach,1,0.69948155,106501.29373390491
V022490,enterprise,5122,16109416.33,ach,1,0.82457715,106067.65319614409
V020427,enterprise,8911,14812715.47,ach,0,0.89618796,105999.81820349138
V000021,enterprise,7392,16502328.91,ach,1,0.79008615,104106.09213864511
V004424,enterprise,4214,25673837.28,ach,1,0.5069061,103913.79621226952
V015718,enterprise,5122,16495902.49,ach,1,0.7873337,103702.24308599344
V023838,enterprise,7392,15399667.01,check,1,0.84114915,103427.33468922062
V021889,enterprise,5172,15686683.63,check,1,0.8135393,101893.87224416625
V005593,enterprise,7372,16898166.39,ach,0,0.7501848,101213.97712828478
V018874,enterprise,5172,15274238.57,ach,1,0.8295439,101165.21006629233
V015866,enterprise,7372,18815309.27,ach,1,0.67291266,101088.47806448996
V008748,enterprise,8911,24090648.94,ach,1,0.52480423,100942.99660542526
V015650,enterprise,5172,50600225.99,check,0,0.24964562,100856.99855191109
V020754,enterprise,7392,17995612.95,ach,0,0.7015054,100792.16053835802
V005971,enterprise,5172,17030816.62,ach,0,0.73887867,100469.65670516717
V007955,enterprise,4214,24744205.59,ach,0,0.5054685,99859.32943915312
V018974,enterprise,5211,16077423.94,check,0,0.77772117,99830.02322169505
V009082,enterprise,7392,16002536.24,ach,1,0.7810402,99788.99177425537
V005758,enterprise,4214,23102103.93,ach,0,0.5409344,99773.77884364885
V007767,enterprise,7392,18139487.15,check,0,0.6877773,99607.41717815599
V015864,enterprise,5085,16069284.18,check,1,0.77126044,98948.82554215456
V009154,enterprise,7392,16456343.32,ach,0,0.74725366,98176.50173308159
